_split_row_id,_split,protein_a,protein_b,train_degree_a,train_degree_b,train_degree_sum,train_degree_abs_diff,train_degree_min,train_degree_max,train_degree_product,either_protein_seen_in_train,both_proteins_seen_in_train,pair_seen_in_train,effect_label
0,train,Q16613,P63104,1,45,46,44,1,45,45,1,1,1,Enhance
1,train,Q9NY61,P19105,1,2,3,1,1,2,2,1,1,1,Inhibit
2,test,Q9UNQ0,Q9UNQ0,0,0,0,0,0,0,0,0,0,0,Enhance
3,train,Q8IZP0,P27986,1,35,36,34,1,35,35,1,1,1,Enhance
4,train,Q9P2A4,Q7L576,2,1,3,1,1,2,2,1,1,1,Inhibit
5,train,Q9P2A4,Q9Y6W5,2,3,5,1,2,3,6,1,1,1,Inhibit
6,train,P00519,P31946,3,90,93,87,3,90,270,1,1,1,Enhance
7,train,P00519,P31946,3,90,93,87,3,90,270,1,1,1,Enhance
8,train,Q6UWZ7,P38398,2,15,17,13,2,15,30,1,1,1,Enhance
9,train,Q6UWZ7,P38398,2,15,17,13,2,15,30,1,1,1,Enhance
10,train,Q15018,Q9UQQ2,1,1,2,0,1,1,1,1,1,1,Enhance
11,train,Q13085,P38398,3,15,18,12,3,15,45,1,1,1,Enhance
12,train,Q13085,P38398,3,15,18,12,3,15,45,1,1,1,Enhance
13,train,Q13085,P38398,3,15,18,12,3,15,45,1,1,1,Enhance
14,train,Q15027,P05556,1,2,3,1,1,2,2,1,1,1,Enhance
15,test,P12821,P35579,0,0,0,0,0,0,0,0,0,0,Enhance
16,test,Q9BYF1,Q96CW1,0,1,1,1,0,1,0,1,0,0,Inhibit
17,test,Q9BYF1,Q96CW1,0,1,1,1,0,1,0,1,0,0,Enhance
18,test,Q9BYF1,P06241,0,8,8,8,0,8,0,1,0,0,Enhance
19,test,Q9BYF1,O95166,0,0,0,0,0,0,0,0,0,0,Enhance
20,test,Q9BYF1,P07948,0,2,2,2,0,2,0,1,0,0,Enhance
21,test,Q9BYF1,Q9H492,0,8,8,8,0,8,0,1,0,0,Enhance
22,train,P25106,P49407,2,6,8,4,2,6,12,1,1,1,Enhance
23,train,P25106,P49407,2,6,8,4,2,6,12,1,1,1,Enhance
24,test,Q8N9L9,P0DMV8,0,17,17,17,0,17,0,1,0,0,Inhibit
25,train,P60709,P35580,11,1,12,10,1,11,11,1,1,1,Inhibit
26,train,P12814,P12931,3,25,28,22,3,25,75,1,1,1,Enhance
27,train,O43707,P68133,7,15,22,8,7,15,105,1,1,1,Inhibit
28,train,O43707,P68133,7,15,22,8,7,15,105,1,1,1,Inhibit
29,train,O43707,P68133,7,15,22,8,7,15,105,1,1,1,Enhance
30,train,O43707,P60709,7,11,18,4,7,11,77,1,1,1,Inhibit
31,train,O43707,P60709,7,11,18,4,7,11,77,1,1,1,Inhibit
32,train,O43707,P60709,7,11,18,4,7,11,77,1,1,1,Inhibit
33,train,O43707,P60709,7,11,18,4,7,11,77,1,1,1,Inhibit
34,train,Q9P0K1,P31946,12,90,102,78,12,90,1080,1,1,1,Enhance
35,train,Q9P0K1,P31946,12,90,102,78,12,90,1080,1,1,1,Enhance
36,train,Q9P0K1,P62258,12,36,48,24,12,36,432,1,1,1,Enhance
37,train,Q9P0K1,P62258,12,36,48,24,12,36,432,1,1,1,Enhance
38,train,Q9P0K1,P61981,12,31,43,19,12,31,372,1,1,1,Enhance
39,train,Q9P0K1,P61981,12,31,43,19,12,31,372,1,1,1,Enhance
40,train,Q9P0K1,Q04917,12,21,33,9,12,21,252,1,1,1,Enhance
41,train,Q9P0K1,Q04917,12,21,33,9,12,21,252,1,1,1,Enhance
42,train,Q9P0K1,P27348,12,19,31,7,12,19,228,1,1,1,Enhance
43,train,Q9P0K1,P27348,12,19,31,7,12,19,228,1,1,1,Enhance
44,train,Q9P0K1,P63104,12,45,57,33,12,45,540,1,1,1,Enhance
45,train,Q9P0K1,P63104,12,45,57,33,12,45,540,1,1,1,Enhance
46,validation,P35611,P12814,0,3,3,3,0,3,0,1,0,0,Inhibit
47,validation,P35611,P52294,0,4,4,4,0,4,0,1,0,0,Inhibit
48,validation,P35611,Q9HD67,0,0,0,0,0,0,0,0,0,0,Enhance
49,validation,P35611,Q9HD67,0,0,0,0,0,0,0,0,0,0,Enhance
50,validation,P35611,Q9ULW0,0,3,3,3,0,3,0,1,0,0,Enhance
51,train,P29274,P14416,1,1,2,0,1,1,1,1,1,1,Enhance
52,train,P07550,P36575,9,9,18,0,9,9,81,1,1,1,Enhance
53,train,P07550,P36575,9,9,18,0,9,9,81,1,1,1,Enhance
54,train,P07550,P36575,9,9,18,0,9,9,81,1,1,1,Enhance
55,train,P07550,P49407,9,6,15,3,6,9,54,1,1,1,Enhance
56,train,P07550,O14745,9,3,12,6,3,9,27,1,1,1,Inhibit
57,train,Q8N4X5,P27986,1,35,36,34,1,35,35,1,1,1,Enhance
58,train,P51825,P50750,2,3,5,1,2,3,6,1,1,1,Enhance
59,train,P51825,P50750,2,3,5,1,2,3,6,1,1,1,Enhance
60,train,Q15109,Q9NWZ3,3,45,48,42,3,45,135,1,1,1,Enhance
61,train,Q15109,Q99836,3,2,5,1,2,3,6,1,1,1,Enhance
62,train,Q15109,P58753,3,2,5,1,2,3,6,1,1,1,Enhance
63,train,Q9UKV8,Q9UPY3,12,4,16,8,4,12,48,1,1,1,Inhibit
64,train,Q9UKV8,Q9UPY3,12,4,16,8,4,12,48,1,1,1,Inhibit
65,train,Q9UKV8,Q9UPY3,12,4,16,8,4,12,48,1,1,1,Inhibit
66,train,Q9UKV8,Q9UPY3,12,4,16,8,4,12,48,1,1,1,Inhibit
67,train,Q9UKV8,Q9UGP4,12,1,13,11,1,12,12,1,1,1,Enhance
68,train,Q9UKV8,Q15633,12,6,18,6,6,12,72,1,1,1,Inhibit
69,train,Q9UKV8,Q15633,12,6,18,6,6,12,72,1,1,1,Inhibit
70,train,Q9UKV8,Q8NDV7,12,1,13,11,1,12,12,1,1,1,Enhance
71,validation,P30556,P49407,0,6,6,6,0,6,0,1,0,0,Enhance
72,validation,P30556,P49407,0,6,6,6,0,6,0,1,0,0,Enhance
73,validation,P30556,P49407,0,6,6,6,0,6,0,1,0,0,Enhance
74,validation,P30556,P49407,0,6,6,6,0,6,0,1,0,0,Enhance
75,validation,P30556,P49407,0,6,6,6,0,6,0,1,0,0,Enhance
76,validation,P30556,P49407,0,6,6,6,0,6,0,1,0,0,Enhance
77,validation,P30556,P49407,0,6,6,6,0,6,0,1,0,0,Enhance
78,validation,P30556,P49407,0,6,6,6,0,6,0,1,0,0,Enhance
79,validation,P30556,P32121,0,8,8,8,0,8,0,1,0,0,Enhance
80,validation,P30556,P32121,0,8,8,8,0,8,0,1,0,0,Enhance
81,validation,P30556,P32121,0,8,8,8,0,8,0,1,0,0,Enhance
82,validation,P30556,P32121,0,8,8,8,0,8,0,1,0,0,Enhance
83,validation,P30556,P19174,0,64,64,64,0,64,0,1,0,0,Enhance
84,train,O43865,O14745,1,3,4,2,1,3,3,1,1,1,Enhance
85,train,O95433,P07900,7,62,69,55,7,62,434,1,1,1,Enhance
86,train,O95433,P07900,7,62,69,55,7,62,434,1,1,1,Enhance
87,train,O95831,O00629,1,9,10,8,1,9,9,1,1,1,Inhibit
88,test,Q12904,P14625,0,0,0,0,0,0,0,0,0,0,Inhibit
89,train,Q13155,P07814,1,7,8,6,1,7,7,1,1,1,Inhibit
90,test,O00170,P07900,0,62,62,62,0,62,0,1,0,0,Enhance
91,test,O00170,P07900,0,62,62,62,0,62,0,1,0,0,Enhance
92,train,O43918,Q9UK99,2,2,4,0,2,2,4,1,1,1,Enhance
93,train,O43918,Q9UK99,2,2,4,0,2,2,4,1,1,1,Enhance
94,validation,Q92667,P62136,0,0,0,0,0,0,0,0,0,0,Inhibit
