_split_row_id,_split,protein_a,protein_b,train_degree_a,train_degree_b,train_degree_sum,train_degree_abs_diff,train_degree_min,train_degree_max,train_degree_product,either_protein_seen_in_train,both_proteins_seen_in_train,pair_seen_in_train,effect_label
0,train,Q16613,P63104,1,67,68,66,1,67,67,1,1,1,Enhance
1,train,Q9NY61,P19105,1,2,3,1,1,2,2,1,1,1,Inhibit
2,train,Q9UNQ0,Q9UNQ0,2,2,4,0,2,2,4,1,1,1,Enhance
3,train,Q8IZP0,P27986,1,39,40,38,1,39,39,1,1,1,Enhance
4,validation,Q9P2A4,Q7L576,0,0,0,0,0,0,0,0,0,0,Inhibit
5,test,Q9P2A4,Q9Y6W5,0,0,0,0,0,0,0,0,0,0,Inhibit
6,train,P00519,P31946,2,91,93,89,2,91,182,1,1,1,Enhance
7,train,P00519,P31946,2,91,93,89,2,91,182,1,1,1,Enhance
8,test,Q6UWZ7,P38398,0,14,14,14,0,14,0,1,0,0,Enhance
9,test,Q6UWZ7,P38398,0,14,14,14,0,14,0,1,0,0,Enhance
10,validation,Q15018,Q9UQQ2,0,0,0,0,0,0,0,0,0,0,Enhance
11,train,Q13085,P38398,3,14,17,11,3,14,42,1,1,1,Enhance
12,train,Q13085,P38398,3,14,17,11,3,14,42,1,1,1,Enhance
13,train,Q13085,P38398,3,14,17,11,3,14,42,1,1,1,Enhance
14,train,Q15027,P05556,1,7,8,6,1,7,7,1,1,1,Enhance
15,train,P12821,P35579,1,1,2,0,1,1,1,1,1,1,Enhance
16,test,Q9BYF1,Q96CW1,4,3,7,1,3,4,12,1,1,0,Inhibit
17,test,Q9BYF1,Q96CW1,4,3,7,1,3,4,12,1,1,0,Enhance
18,train,Q9BYF1,P06241,4,11,15,7,4,11,44,1,1,1,Enhance
19,train,Q9BYF1,O95166,4,1,5,3,1,4,4,1,1,1,Enhance
20,train,Q9BYF1,P07948,4,1,5,3,1,4,4,1,1,1,Enhance
21,train,Q9BYF1,Q9H492,4,5,9,1,4,5,20,1,1,1,Enhance
22,train,P25106,P49407,2,7,9,5,2,7,14,1,1,1,Enhance
23,train,P25106,P49407,2,7,9,5,2,7,14,1,1,1,Enhance
24,train,Q8N9L9,P0DMV8,1,18,19,17,1,18,18,1,1,1,Inhibit
25,train,P60709,P35580,12,1,13,11,1,12,12,1,1,1,Inhibit
26,train,P12814,P12931,5,20,25,15,5,20,100,1,1,1,Enhance
27,train,O43707,P68133,7,14,21,7,7,14,98,1,1,1,Inhibit
28,train,O43707,P68133,7,14,21,7,7,14,98,1,1,1,Inhibit
29,train,O43707,P68133,7,14,21,7,7,14,98,1,1,1,Enhance
30,train,O43707,P60709,7,12,19,5,7,12,84,1,1,1,Inhibit
31,train,O43707,P60709,7,12,19,5,7,12,84,1,1,1,Inhibit
32,train,O43707,P60709,7,12,19,5,7,12,84,1,1,1,Inhibit
33,train,O43707,P60709,7,12,19,5,7,12,84,1,1,1,Inhibit
34,train,Q9P0K1,P31946,8,91,99,83,8,91,728,1,1,1,Enhance
35,train,Q9P0K1,P31946,8,91,99,83,8,91,728,1,1,1,Enhance
36,test,Q9P0K1,P62258,8,25,33,17,8,25,200,1,1,0,Enhance
37,test,Q9P0K1,P62258,8,25,33,17,8,25,200,1,1,0,Enhance
38,train,Q9P0K1,P61981,8,38,46,30,8,38,304,1,1,1,Enhance
39,train,Q9P0K1,P61981,8,38,46,30,8,38,304,1,1,1,Enhance
40,train,Q9P0K1,Q04917,8,29,37,21,8,29,232,1,1,1,Enhance
41,train,Q9P0K1,Q04917,8,29,37,21,8,29,232,1,1,1,Enhance
42,train,Q9P0K1,P27348,8,20,28,12,8,20,160,1,1,1,Enhance
43,train,Q9P0K1,P27348,8,20,28,12,8,20,160,1,1,1,Enhance
44,test,Q9P0K1,P63104,8,67,75,59,8,67,536,1,1,0,Enhance
45,test,Q9P0K1,P63104,8,67,75,59,8,67,536,1,1,0,Enhance
46,train,P35611,P12814,3,5,8,2,3,5,15,1,1,1,Inhibit
47,test,P35611,P52294,3,4,7,1,3,4,12,1,1,0,Inhibit
48,train,P35611,Q9HD67,3,2,5,1,2,3,6,1,1,1,Enhance
49,train,P35611,Q9HD67,3,2,5,1,2,3,6,1,1,1,Enhance
50,test,P35611,Q9ULW0,3,3,6,0,3,3,9,1,1,0,Enhance
51,test,P29274,P14416,0,0,0,0,0,0,0,0,0,0,Enhance
52,train,P07550,P36575,6,9,15,3,6,9,54,1,1,1,Enhance
53,train,P07550,P36575,6,9,15,3,6,9,54,1,1,1,Enhance
54,train,P07550,P36575,6,9,15,3,6,9,54,1,1,1,Enhance
55,validation,P07550,P49407,6,7,13,1,6,7,42,1,1,0,Enhance
56,test,P07550,O14745,6,9,15,3,6,9,54,1,1,0,Inhibit
57,train,Q8N4X5,P27986,1,39,40,38,1,39,39,1,1,1,Enhance
58,train,P51825,P50750,2,5,7,3,2,5,10,1,1,1,Enhance
59,train,P51825,P50750,2,5,7,3,2,5,10,1,1,1,Enhance
60,train,Q15109,Q9NWZ3,3,45,48,42,3,45,135,1,1,1,Enhance
61,train,Q15109,Q99836,3,2,5,1,2,3,6,1,1,1,Enhance
62,train,Q15109,P58753,3,2,5,1,2,3,6,1,1,1,Enhance
63,test,Q9UKV8,Q9UPY3,9,0,9,9,0,9,0,1,0,0,Inhibit
64,test,Q9UKV8,Q9UPY3,9,0,9,9,0,9,0,1,0,0,Inhibit
65,test,Q9UKV8,Q9UPY3,9,0,9,9,0,9,0,1,0,0,Inhibit
66,test,Q9UKV8,Q9UPY3,9,0,9,9,0,9,0,1,0,0,Inhibit
67,train,Q9UKV8,Q9UGP4,9,1,10,8,1,9,9,1,1,1,Enhance
68,train,Q9UKV8,Q15633,9,9,18,0,9,9,81,1,1,1,Inhibit
69,train,Q9UKV8,Q15633,9,9,18,0,9,9,81,1,1,1,Inhibit
70,train,Q9UKV8,Q8NDV7,9,1,10,8,1,9,9,1,1,1,Enhance
71,test,P30556,P49407,5,7,12,2,5,7,35,1,1,0,Enhance
72,test,P30556,P49407,5,7,12,2,5,7,35,1,1,0,Enhance
73,test,P30556,P49407,5,7,12,2,5,7,35,1,1,0,Enhance
74,test,P30556,P49407,5,7,12,2,5,7,35,1,1,0,Enhance
75,test,P30556,P49407,5,7,12,2,5,7,35,1,1,0,Enhance
76,test,P30556,P49407,5,7,12,2,5,7,35,1,1,0,Enhance
77,test,P30556,P49407,5,7,12,2,5,7,35,1,1,0,Enhance
78,test,P30556,P49407,5,7,12,2,5,7,35,1,1,0,Enhance
79,train,P30556,P32121,5,13,18,8,5,13,65,1,1,1,Enhance
80,train,P30556,P32121,5,13,18,8,5,13,65,1,1,1,Enhance
81,train,P30556,P32121,5,13,18,8,5,13,65,1,1,1,Enhance
82,train,P30556,P32121,5,13,18,8,5,13,65,1,1,1,Enhance
83,train,P30556,P19174,5,73,78,68,5,73,365,1,1,1,Enhance
84,train,O43865,O14745,1,9,10,8,1,9,9,1,1,1,Enhance
85,test,O95433,P07900,0,56,56,56,0,56,0,1,0,0,Enhance
86,test,O95433,P07900,0,56,56,56,0,56,0,1,0,0,Enhance
87,train,O95831,O00629,1,6,7,5,1,6,6,1,1,1,Inhibit
88,test,Q12904,P14625,0,0,0,0,0,0,0,0,0,0,Inhibit
89,test,Q13155,P07814,0,6,6,6,0,6,0,1,0,0,Inhibit
90,train,O00170,P07900,2,56,58,54,2,56,112,1,1,1,Enhance
91,train,O00170,P07900,2,56,58,54,2,56,112,1,1,1,Enhance
92,train,O43918,Q9UK99,2,2,4,0,2,2,4,1,1,1,Enhance
93,train,O43918,Q9UK99,2,2,4,0,2,2,4,1,1,1,Enhance
94,train,Q92667,P62136,2,2,4,0,2,2,4,1,1,1,Inhibit
95,train,Q92667,P62136,2,2,4,0,2,2,4,1,1,1,Inhibit
96,train,Q02952,P07550,3,6,9,3,3,6,18,1,1,1,Enhance
97,train,Q02952,P07550,3,6,9,3,3,6,18,1,1,1,Enhance
98,train,Q02952,P07550,3,6,9,3,3,6,18,1,1,1,Enhance
99,test,Q02952,P53350,3,23,26,20,3,23,69,1,1,0,Enhance
100,train,Q12802,P31946,1,91,92,90,1,91,91,1,1,1,Enhance
101,validation,Q12802,P61981,1,38,39,37,1,38,38,1,1,0,Enhance
102,train,P24588,P60709,3,12,15,9,3,12,36,1,1,1,Inhibit
103,train,P24588,P60709,3,12,15,9,3,12,36,1,1,1,Inhibit
104,train,P31749,Q8WX93,13,1,14,12,1,13,13,1,1,1,Enhance
105,train,P31749,Q13526,13,42,55,29,13,42,546,1,1,1,Enhance
106,train,P31749,Q13526,13,42,55,29,13,42,546,1,1,1,Enhance
107,test,P31749,Q9Y4K3,13,4,17,9,4,13,52,1,1,0,Enhance
108,test,P31749,Q9Y4K3,13,4,17,9,4,13,52,1,1,0,Enhance
109,train,Q96B36,Q8N122,5,10,15,5,5,10,50,1,1,1,Inhibit
110,train,Q96B36,Q8N122,5,10,15,5,5,10,50,1,1,1,Inhibit
111,train,Q96B36,Q8N122,5,10,15,5,5,10,50,1,1,1,Inhibit
112,train,Q96B36,Q8N122,5,10,15,5,5,10,50,1,1,1,Inhibit
113,train,Q96B36,Q8N122,5,10,15,5,5,10,50,1,1,1,Inhibit
114,test,Q96B36,P31946,5,91,96,86,5,91,455,1,1,0,Enhance
115,test,Q96B36,P31946,5,91,96,86,5,91,455,1,1,0,Enhance
116,test,Q96B36,P31946,5,91,96,86,5,91,455,1,1,0,Enhance
117,test,Q96B36,P31946,5,91,96,86,5,91,455,1,1,0,Enhance
118,train,P00352,P00352,6,6,12,0,6,6,36,1,1,1,Inhibit
119,train,P00352,P00352,6,6,12,0,6,6,36,1,1,1,Inhibit
120,train,P00352,P00352,6,6,12,0,6,6,36,1,1,1,Inhibit
121,train,Q9UM73,Q9Y4H2,5,3,8,2,3,5,15,1,1,1,Enhance
122,train,Q9UM73,Q9Y4H2,5,3,8,2,3,5,15,1,1,1,Enhance
123,train,Q9UM73,Q9Y4H2,5,3,8,2,3,5,15,1,1,1,Enhance
124,train,Q9UM73,P29353,5,27,32,22,5,27,135,1,1,1,Enhance
125,train,Q9UM73,Q92529,5,1,6,4,1,5,5,1,1,1,Enhance
126,train,Q4VCS5,P68133,4,14,18,10,4,14,56,1,1,1,Inhibit
127,train,Q4VCS5,P60709,4,12,16,8,4,12,48,1,1,1,Inhibit
128,validation,Q4VCS5,Q96J02,4,5,9,1,4,5,20,1,1,0,Enhance
129,train,Q4VCS5,P46937,4,18,22,14,4,18,72,1,1,1,Enhance
130,train,Q4VCS5,P46937,4,18,22,14,4,18,72,1,1,1,Inhibit
131,validation,Q4VCS5,P61981,4,38,42,34,4,38,152,1,1,0,Enhance
132,train,Q9Y2J4,P46937,1,18,19,17,1,18,18,1,1,1,Inhibit
133,train,P49418,Q00610,2,2,4,0,2,2,4,1,1,1,Inhibit
134,train,P49418,Q00610,2,2,4,0,2,2,4,1,1,1,Inhibit
135,train,P15144,P12814,3,5,8,2,3,5,15,1,1,1,Enhance
136,train,P15144,P62330,3,1,4,2,1,3,3,1,1,1,Enhance
137,train,P15144,P46940,3,8,11,5,3,8,24,1,1,1,Enhance
138,test,P15144,P31947,3,18,21,15,3,18,54,1,1,0,Enhance
139,test,P15144,P31947,3,18,21,15,3,18,54,1,1,0,Enhance
140,test,P04083,P60709,1,12,13,11,1,12,12,1,1,0,Enhance
141,train,P04083,P31949,1,3,4,2,1,3,3,1,1,1,Inhibit
142,train,P07355,P01106,5,2,7,3,2,5,10,1,1,1,Enhance
143,train,P07355,P60903,5,3,8,2,3,5,15,1,1,1,Inhibit
144,train,P07355,P60903,5,3,8,2,3,5,15,1,1,1,Inhibit
145,train,P07355,P60903,5,3,8,2,3,5,15,1,1,1,Inhibit
146,train,P07355,P40763,5,8,13,3,5,8,40,1,1,1,Enhance
147,train,P20073,P16144,1,41,42,40,1,41,41,1,1,1,Enhance
148,train,P63010,P49407,1,7,8,6,1,7,7,1,1,1,Inhibit
149,train,O14727,P08574,2,1,3,1,1,2,2,1,1,1,Inhibit
150,train,O14727,P62258,2,25,27,23,2,25,50,1,1,1,Enhance
151,train,Q99767,P05067,1,1,2,0,1,1,1,1,1,1,Enhance
152,train,O96018,Q9NWT6,2,2,4,0,2,2,4,1,1,1,Enhance
153,train,O96018,Q9NWT6,2,2,4,0,2,2,4,1,1,1,Enhance
154,test,O00213,P05067,2,1,3,1,1,2,2,1,1,0,Enhance
155,test,O00213,P05067,2,1,3,1,1,2,2,1,1,0,Enhance
156,test,O00213,P05067,2,1,3,1,1,2,2,1,1,0,Enhance
157,test,O00213,P05067,2,1,3,1,1,2,2,1,1,0,Inhibit
158,test,O00213,P05067,2,1,3,1,1,2,2,1,1,0,Inhibit
159,test,O00213,P05067,2,1,3,1,1,2,2,1,1,0,Inhibit
160,train,O00213,Q9Y272,2,1,3,1,1,2,2,1,1,1,Inhibit
161,train,P25054,P35222,6,67,73,61,6,67,402,1,1,1,Enhance
162,train,P25054,P35222,6,67,73,61,6,67,402,1,1,1,Enhance
163,test,P25054,Q15691,6,17,23,11,6,17,102,1,1,0,Inhibit
164,test,P25054,Q15691,6,17,23,11,6,17,102,1,1,0,Inhibit
165,train,P27695,P18887,2,8,10,6,2,8,16,1,1,1,Inhibit
166,train,P27695,P18887,2,8,10,6,2,8,16,1,1,1,Inhibit
167,train,Q9UKG1,Q01968,1,1,2,0,1,1,1,1,1,1,Inhibit
168,train,P41181,P0DMV8,3,18,21,15,3,18,54,1,1,1,Inhibit
169,train,P41181,P0DMV8,3,18,21,15,3,18,54,1,1,1,Inhibit
170,train,P41181,P58753,3,2,5,1,2,3,6,1,1,1,Enhance
171,test,P55064,P12931,0,20,20,20,0,20,0,1,0,0,Enhance
172,train,P10275,Q09472,7,28,35,21,7,28,196,1,1,1,Enhance
