_split_row_id,_split,protein_a,protein_b,train_degree_a,train_degree_b,train_degree_sum,train_degree_abs_diff,train_degree_min,train_degree_max,train_degree_product,either_protein_seen_in_train,both_proteins_seen_in_train,pair_seen_in_train,effect_label
0,train,Q16613,P63104,1,63,64,62,1,63,63,1,1,1,Enhance
1,train,Q9NY61,P19105,1,2,3,1,1,2,2,1,1,1,Inhibit
2,train,Q9UNQ0,Q9UNQ0,2,2,4,0,2,2,4,1,1,1,Enhance
3,train,Q8IZP0,P27986,1,30,31,29,1,30,30,1,1,1,Enhance
4,train,Q9P2A4,Q7L576,2,1,3,1,1,2,2,1,1,1,Inhibit
5,train,Q9P2A4,Q9Y6W5,2,3,5,1,2,3,6,1,1,1,Inhibit
6,train,P00519,P31946,4,96,100,92,4,96,384,1,1,1,Enhance
7,train,P00519,P31946,4,96,100,92,4,96,384,1,1,1,Enhance
8,train,Q6UWZ7,P38398,2,13,15,11,2,13,26,1,1,1,Enhance
9,train,Q6UWZ7,P38398,2,13,15,11,2,13,26,1,1,1,Enhance
10,test,Q15018,Q9UQQ2,0,0,0,0,0,0,0,0,0,0,Enhance
11,train,Q13085,P38398,2,13,15,11,2,13,26,1,1,1,Enhance
12,validation,Q13085,P38398,2,13,15,11,2,13,26,1,1,1,Enhance
13,train,Q13085,P38398,2,13,15,11,2,13,26,1,1,1,Enhance
14,train,Q15027,P05556,1,3,4,2,1,3,3,1,1,1,Enhance
15,train,P12821,P35579,1,2,3,1,1,2,2,1,1,1,Enhance
16,train,Q9BYF1,Q96CW1,6,5,11,1,5,6,30,1,1,1,Inhibit
17,train,Q9BYF1,Q96CW1,6,5,11,1,5,6,30,1,1,1,Enhance
18,train,Q9BYF1,P06241,6,11,17,5,6,11,66,1,1,1,Enhance
19,train,Q9BYF1,O95166,6,1,7,5,1,6,6,1,1,1,Enhance
20,train,Q9BYF1,P07948,6,3,9,3,3,6,18,1,1,1,Enhance
21,train,Q9BYF1,Q9H492,6,9,15,3,6,9,54,1,1,1,Enhance
22,train,P25106,P49407,2,12,14,10,2,12,24,1,1,1,Enhance
23,train,P25106,P49407,2,12,14,10,2,12,24,1,1,1,Enhance
24,validation,Q8N9L9,P0DMV8,0,17,17,17,0,17,0,1,0,0,Inhibit
25,validation,P60709,P35580,12,0,12,12,0,12,0,1,0,0,Inhibit
26,train,P12814,P12931,3,18,21,15,3,18,54,1,1,1,Enhance
