_split_row_id,_split,protein_a,protein_b,train_degree_a,train_degree_b,train_degree_sum,train_degree_abs_diff,train_degree_min,train_degree_max,train_degree_product,either_protein_seen_in_train,both_proteins_seen_in_train,pair_seen_in_train,effect_label
0,train,Q16613,P63104,1,67,68,66,1,67,67,1,1,1,Enhance
1,test,Q9NY61,P19105,0,0,0,0,0,0,0,0,0,0,Inhibit
2,train,Q9UNQ0,Q9UNQ0,2,2,4,0,2,2,4,1,1,1,Enhance
3,validation,Q8IZP0,P27986,0,31,31,31,0,31,0,1,0,0,Enhance
4,validation,Q9P2A4,Q7L576,1,0,1,1,0,1,0,1,0,0,Inhibit
5,train,Q9P2A4,Q9Y6W5,1,3,4,2,1,3,3,1,1,1,Inhibit
6,train,P00519,P31946,4,96,100,92,4,96,384,1,1,1,Enhance
7,train,P00519,P31946,4,96,100,92,4,96,384,1,1,1,Enhance
8,test,Q6UWZ7,P38398,0,7,7,7,0,7,0,1,0,0,Enhance
9,test,Q6UWZ7,P38398,0,7,7,7,0,7,0,1,0,0,Enhance
10,train,Q15018,Q9UQQ2,1,1,2,0,1,1,1,1,1,1,Enhance
11,train,Q13085,P38398,1,7,8,6,1,7,7,1,1,1,Enhance
12,test,Q13085,P38398,1,7,8,6,1,7,7,1,1,1,Enhance
13,validation,Q13085,P38398,1,7,8,6,1,7,7,1,1,1,Enhance
14,test,Q15027,P05556,0,4,4,4,0,4,0,1,0,0,Enhance
15,train,P12821,P35579,1,2,3,1,1,2,2,1,1,1,Enhance
16,train,Q9BYF1,Q96CW1,4,5,9,1,4,5,20,1,1,1,Inhibit
17,train,Q9BYF1,Q96CW1,4,5,9,1,4,5,20,1,1,1,Enhance
18,train,Q9BYF1,P06241,4,10,14,6,4,10,40,1,1,1,Enhance
19,test,Q9BYF1,O95166,4,0,4,4,0,4,0,1,0,0,Enhance
20,train,Q9BYF1,P07948,4,1,5,3,1,4,4,1,1,1,Enhance
21,test,Q9BYF1,Q9H492,4,3,7,1,3,4,12,1,1,0,Enhance
22,test,P25106,P49407,1,10,11,9,1,10,10,1,1,1,Enhance
23,train,P25106,P49407,1,10,11,9,1,10,10,1,1,1,Enhance
24,train,Q8N9L9,P0DMV8,1,16,17,15,1,16,16,1,1,1,Inhibit
25,train,P60709,P35580,14,1,15,13,1,14,14,1,1,1,Inhibit
26,train,P12814,P12931,2,27,29,25,2,27,54,1,1,1,Enhance
27,train,O43707,P68133,6,12,18,6,6,12,72,1,1,1,Inhibit
28,train,O43707,P68133,6,12,18,6,6,12,72,1,1,1,Inhibit
29,test,O43707,P68133,6,12,18,6,6,12,72,1,1,1,Enhance
30,train,O43707,P60709,6,14,20,8,6,14,84,1,1,1,Inhibit
31,train,O43707,P60709,6,14,20,8,6,14,84,1,1,1,Inhibit
32,train,O43707,P60709,6,14,20,8,6,14,84,1,1,1,Inhibit
33,train,O43707,P60709,6,14,20,8,6,14,84,1,1,1,Inhibit
34,test,Q9P0K1,P31946,6,96,102,90,6,96,576,1,1,0,Enhance
35,test,Q9P0K1,P31946,6,96,102,90,6,96,576,1,1,0,Enhance
36,train,Q9P0K1,P62258,6,46,52,40,6,46,276,1,1,1,Enhance
37,train,Q9P0K1,P62258,6,46,52,40,6,46,276,1,1,1,Enhance
38,test,Q9P0K1,P61981,6,38,44,32,6,38,228,1,1,0,Enhance
39,test,Q9P0K1,P61981,6,38,44,32,6,38,228,1,1,0,Enhance
40,train,Q9P0K1,Q04917,6,24,30,18,6,24,144,1,1,1,Enhance
41,test,Q9P0K1,Q04917,6,24,30,18,6,24,144,1,1,1,Enhance
42,train,Q9P0K1,P27348,6,22,28,16,6,22,132,1,1,1,Enhance
43,train,Q9P0K1,P27348,6,22,28,16,6,22,132,1,1,1,Enhance
44,validation,Q9P0K1,P63104,6,67,73,61,6,67,402,1,1,1,Enhance
45,train,Q9P0K1,P63104,6,67,73,61,6,67,402,1,1,1,Enhance
46,train,P35611,P12814,2,2,4,0,2,2,4,1,1,1,Inhibit
47,test,P35611,P52294,2,2,4,0,2,2,4,1,1,0,Inhibit
48,test,P35611,Q9HD67,2,2,4,0,2,2,4,1,1,1,Enhance
49,train,P35611,Q9HD67,2,2,4,0,2,2,4,1,1,1,Enhance
50,test,P35611,Q9ULW0,2,2,4,0,2,2,4,1,1,0,Enhance
51,test,P29274,P14416,0,0,0,0,0,0,0,0,0,0,Enhance
52,train,P07550,P36575,6,5,11,1,5,6,30,1,1,1,Enhance
53,test,P07550,P36575,6,5,11,1,5,6,30,1,1,1,Enhance
54,train,P07550,P36575,6,5,11,1,5,6,30,1,1,1,Enhance
55,train,P07550,P49407,6,10,16,4,6,10,60,1,1,1,Enhance
56,train,P07550,O14745,6,9,15,3,6,9,54,1,1,1,Inhibit
57,train,Q8N4X5,P27986,1,31,32,30,1,31,31,1,1,1,Enhance
58,train,P51825,P50750,2,6,8,4,2,6,12,1,1,1,Enhance
59,train,P51825,P50750,2,6,8,4,2,6,12,1,1,1,Enhance
60,test,Q15109,Q9NWZ3,2,32,34,30,2,32,64,1,1,0,Enhance
61,train,Q15109,Q99836,2,2,4,0,2,2,4,1,1,1,Enhance
62,train,Q15109,P58753,2,2,4,0,2,2,4,1,1,1,Enhance
63,train,Q9UKV8,Q9UPY3,10,3,13,7,3,10,30,1,1,1,Inhibit
64,train,Q9UKV8,Q9UPY3,10,3,13,7,3,10,30,1,1,1,Inhibit
65,test,Q9UKV8,Q9UPY3,10,3,13,7,3,10,30,1,1,1,Inhibit
66,train,Q9UKV8,Q9UPY3,10,3,13,7,3,10,30,1,1,1,Inhibit
67,train,Q9UKV8,Q9UGP4,10,1,11,9,1,10,10,1,1,1,Enhance
68,train,Q9UKV8,Q15633,10,8,18,2,8,10,80,1,1,1,Inhibit
69,train,Q9UKV8,Q15633,10,8,18,2,8,10,80,1,1,1,Inhibit
70,test,Q9UKV8,Q8NDV7,10,0,10,10,0,10,0,1,0,0,Enhance
71,test,P30556,P49407,7,10,17,3,7,10,70,1,1,1,Enhance
72,train,P30556,P49407,7,10,17,3,7,10,70,1,1,1,Enhance
73,train,P30556,P49407,7,10,17,3,7,10,70,1,1,1,Enhance
74,test,P30556,P49407,7,10,17,3,7,10,70,1,1,1,Enhance
75,test,P30556,P49407,7,10,17,3,7,10,70,1,1,1,Enhance
76,train,P30556,P49407,7,10,17,3,7,10,70,1,1,1,Enhance
77,test,P30556,P49407,7,10,17,3,7,10,70,1,1,1,Enhance
78,train,P30556,P49407,7,10,17,3,7,10,70,1,1,1,Enhance
79,train,P30556,P32121,7,10,17,3,7,10,70,1,1,1,Enhance
80,train,P30556,P32121,7,10,17,3,7,10,70,1,1,1,Enhance
81,train,P30556,P32121,7,10,17,3,7,10,70,1,1,1,Enhance
82,test,P30556,P32121,7,10,17,3,7,10,70,1,1,1,Enhance
83,validation,P30556,P19174,7,49,56,42,7,49,343,1,1,0,Enhance
84,test,O43865,O14745,0,9,9,9,0,9,0,1,0,0,Enhance
85,train,O95433,P07900,6,55,61,49,6,55,330,1,1,1,Enhance
86,train,O95433,P07900,6,55,61,49,6,55,330,1,1,1,Enhance
87,train,O95831,O00629,1,6,7,5,1,6,6,1,1,1,Inhibit
88,train,Q12904,P14625,1,1,2,0,1,1,1,1,1,1,Inhibit
89,train,Q13155,P07814,1,4,5,3,1,4,4,1,1,1,Inhibit
90,train,O00170,P07900,2,55,57,53,2,55,110,1,1,1,Enhance
91,train,O00170,P07900,2,55,57,53,2,55,110,1,1,1,Enhance
92,train,O43918,Q9UK99,2,2,4,0,2,2,4,1,1,1,Enhance
93,train,O43918,Q9UK99,2,2,4,0,2,2,4,1,1,1,Enhance
94,test,Q92667,P62136,1,1,2,0,1,1,1,1,1,1,Inhibit
95,train,Q92667,P62136,1,1,2,0,1,1,1,1,1,1,Inhibit
96,test,Q02952,P07550,1,6,7,5,1,6,6,1,1,1,Enhance
97,train,Q02952,P07550,1,6,7,5,1,6,6,1,1,1,Enhance
98,test,Q02952,P07550,1,6,7,5,1,6,6,1,1,1,Enhance
99,test,Q02952,P53350,1,30,31,29,1,30,30,1,1,0,Enhance
100,train,Q12802,P31946,1,96,97,95,1,96,96,1,1,1,Enhance
101,validation,Q12802,P61981,1,38,39,37,1,38,38,1,1,0,Enhance
102,train,P24588,P60709,2,14,16,12,2,14,28,1,1,1,Inhibit
103,train,P24588,P60709,2,14,16,12,2,14,28,1,1,1,Inhibit
104,train,P31749,Q8WX93,13,1,14,12,1,13,13,1,1,1,Enhance
105,validation,P31749,Q13526,13,48,61,35,13,48,624,1,1,1,Enhance
106,train,P31749,Q13526,13,48,61,35,13,48,624,1,1,1,Enhance
107,train,P31749,Q9Y4K3,13,5,18,8,5,13,65,1,1,1,Enhance
108,test,P31749,Q9Y4K3,13,5,18,8,5,13,65,1,1,1,Enhance
109,train,Q96B36,Q8N122,7,7,14,0,7,7,49,1,1,1,Inhibit
110,train,Q96B36,Q8N122,7,7,14,0,7,7,49,1,1,1,Inhibit
111,train,Q96B36,Q8N122,7,7,14,0,7,7,49,1,1,1,Inhibit
112,train,Q96B36,Q8N122,7,7,14,0,7,7,49,1,1,1,Inhibit
113,test,Q96B36,Q8N122,7,7,14,0,7,7,49,1,1,1,Inhibit
114,train,Q96B36,P31946,7,96,103,89,7,96,672,1,1,1,Enhance
115,train,Q96B36,P31946,7,96,103,89,7,96,672,1,1,1,Enhance
116,train,Q96B36,P31946,7,96,103,89,7,96,672,1,1,1,Enhance
117,validation,Q96B36,P31946,7,96,103,89,7,96,672,1,1,1,Enhance
118,train,P00352,P00352,6,6,12,0,6,6,36,1,1,1,Inhibit
119,train,P00352,P00352,6,6,12,0,6,6,36,1,1,1,Inhibit
120,train,P00352,P00352,6,6,12,0,6,6,36,1,1,1,Inhibit
121,train,Q9UM73,Q9Y4H2,5,3,8,2,3,5,15,1,1,1,Enhance
122,train,Q9UM73,Q9Y4H2,5,3,8,2,3,5,15,1,1,1,Enhance
123,train,Q9UM73,Q9Y4H2,5,3,8,2,3,5,15,1,1,1,Enhance
124,train,Q9UM73,P29353,5,24,29,19,5,24,120,1,1,1,Enhance
125,train,Q9UM73,Q92529,5,1,6,4,1,5,5,1,1,1,Enhance
126,train,Q4VCS5,P68133,4,12,16,8,4,12,48,1,1,1,Inhibit
127,train,Q4VCS5,P60709,4,14,18,10,4,14,56,1,1,1,Inhibit
128,validation,Q4VCS5,Q96J02,4,4,8,0,4,4,16,1,1,0,Enhance
129,test,Q4VCS5,P46937,4,18,22,14,4,18,72,1,1,1,Enhance
130,train,Q4VCS5,P46937,4,18,22,14,4,18,72,1,1,1,Inhibit
131,train,Q4VCS5,P61981,4,38,42,34,4,38,152,1,1,1,Enhance
132,train,Q9Y2J4,P46937,1,18,19,17,1,18,18,1,1,1,Inhibit
133,train,P49418,Q00610,2,3,5,1,2,3,6,1,1,1,Inhibit
134,train,P49418,Q00610,2,3,5,1,2,3,6,1,1,1,Inhibit
135,validation,P15144,P12814,1,2,3,1,1,2,2,1,1,0,Enhance
136,test,P15144,P62330,1,0,1,1,0,1,0,1,0,0,Enhance
137,test,P15144,P46940,1,9,10,8,1,9,9,1,1,0,Enhance
138,validation,P15144,P31947,1,21,22,20,1,21,21,1,1,1,Enhance
139,train,P15144,P31947,1,21,22,20,1,21,21,1,1,1,Enhance
140,train,P04083,P60709,1,14,15,13,1,14,14,1,1,1,Enhance
141,test,P04083,P31949,1,2,3,1,1,2,2,1,1,0,Inhibit
