_split_row_id,_split,protein_a,protein_b,train_degree_a,train_degree_b,train_degree_sum,train_degree_abs_diff,train_degree_min,train_degree_max,train_degree_product,either_protein_seen_in_train,both_proteins_seen_in_train,pair_seen_in_train,effect_label
0,train,Q16613,P63104,1,46,47,45,1,46,46,1,1,1,Enhance
1,train,Q9NY61,P19105,1,1,2,0,1,1,1,1,1,1,Inhibit
2,train,Q9UNQ0,Q9UNQ0,2,2,4,0,2,2,4,1,1,1,Enhance
3,train,Q8IZP0,P27986,1,24,25,23,1,24,24,1,1,1,Enhance
4,train,Q9P2A4,Q7L576,2,1,3,1,1,2,2,1,1,1,Inhibit
5,train,Q9P2A4,Q9Y6W5,2,2,4,0,2,2,4,1,1,1,Inhibit
6,validation,P00519,P31946,2,105,107,103,2,105,210,1,1,0,Enhance
7,validation,P00519,P31946,2,105,107,103,2,105,210,1,1,0,Enhance
8,train,Q6UWZ7,P38398,2,15,17,13,2,15,30,1,1,1,Enhance
9,train,Q6UWZ7,P38398,2,15,17,13,2,15,30,1,1,1,Enhance
10,train,Q15018,Q9UQQ2,1,1,2,0,1,1,1,1,1,1,Enhance
11,train,Q13085,P38398,3,15,18,12,3,15,45,1,1,1,Enhance
12,train,Q13085,P38398,3,15,18,12,3,15,45,1,1,1,Enhance
13,train,Q13085,P38398,3,15,18,12,3,15,45,1,1,1,Enhance
14,test,Q15027,P05556,0,6,6,6,0,6,0,1,0,0,Enhance
15,test,P12821,P35579,0,1,1,1,0,1,0,1,0,0,Enhance
16,train,Q9BYF1,Q96CW1,3,3,6,0,3,3,9,1,1,1,Inhibit
17,test,Q9BYF1,Q96CW1,3,3,6,0,3,3,9,1,1,1,Enhance
18,train,Q9BYF1,P06241,3,9,12,6,3,9,27,1,1,1,Enhance
19,test,Q9BYF1,O95166,3,0,3,3,0,3,0,1,0,0,Enhance
20,train,Q9BYF1,P07948,3,2,5,1,2,3,6,1,1,1,Enhance
21,test,Q9BYF1,Q9H492,3,8,11,5,3,8,24,1,1,0,Enhance
22,train,P25106,P49407,2,13,15,11,2,13,26,1,1,1,Enhance
23,train,P25106,P49407,2,13,15,11,2,13,26,1,1,1,Enhance
24,train,Q8N9L9,P0DMV8,1,17,18,16,1,17,17,1,1,1,Inhibit
25,validation,P60709,P35580,11,0,11,11,0,11,0,1,0,0,Inhibit
26,test,P12814,P12931,2,24,26,22,2,24,48,1,1,0,Enhance
27,train,O43707,P68133,4,12,16,8,4,12,48,1,1,1,Inhibit
28,test,O43707,P68133,4,12,16,8,4,12,48,1,1,1,Inhibit
29,train,O43707,P68133,4,12,16,8,4,12,48,1,1,1,Enhance
30,train,O43707,P60709,4,11,15,7,4,11,44,1,1,1,Inhibit
31,test,O43707,P60709,4,11,15,7,4,11,44,1,1,1,Inhibit
32,test,O43707,P60709,4,11,15,7,4,11,44,1,1,1,Inhibit
33,train,O43707,P60709,4,11,15,7,4,11,44,1,1,1,Inhibit
34,validation,Q9P0K1,P31946,0,105,105,105,0,105,0,1,0,0,Enhance
35,test,Q9P0K1,P31946,0,105,105,105,0,105,0,1,0,0,Enhance
36,validation,Q9P0K1,P62258,0,38,38,38,0,38,0,1,0,0,Enhance
37,test,Q9P0K1,P62258,0,38,38,38,0,38,0,1,0,0,Enhance
38,validation,Q9P0K1,P61981,0,30,30,30,0,30,0,1,0,0,Enhance
39,test,Q9P0K1,P61981,0,30,30,30,0,30,0,1,0,0,Enhance
40,validation,Q9P0K1,Q04917,0,24,24,24,0,24,0,1,0,0,Enhance
41,test,Q9P0K1,Q04917,0,24,24,24,0,24,0,1,0,0,Enhance
42,validation,Q9P0K1,P27348,0,20,20,20,0,20,0,1,0,0,Enhance
43,test,Q9P0K1,P27348,0,20,20,20,0,20,0,1,0,0,Enhance
44,validation,Q9P0K1,P63104,0,46,46,46,0,46,0,1,0,0,Enhance
45,test,Q9P0K1,P63104,0,46,46,46,0,46,0,1,0,0,Enhance
46,test,P35611,P12814,2,2,4,0,2,2,4,1,1,0,Inhibit
47,validation,P35611,P52294,2,2,4,0,2,2,4,1,1,0,Inhibit
48,test,P35611,Q9HD67,2,2,4,0,2,2,4,1,1,1,Enhance
49,train,P35611,Q9HD67,2,2,4,0,2,2,4,1,1,1,Enhance
