benchmark_split,model,split,n,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss,auroc_macro_ovr,labels
modified_protein_disjoint,majority,train,3257,0.6527,0.3333,0.2633,0.5156,12.5162,0.5,"Enhance,Induce,Inhibit"
modified_protein_disjoint,majority,test,931,0.6885,0.3333,0.2718,0.5615,11.2273,0.5,"Enhance,Induce,Inhibit"
modified_protein_disjoint,majority,val,465,0.6581,0.3333,0.2646,0.5224,12.3246,0.5,"Enhance,Induce,Inhibit"
modified_protein_disjoint,logistic_regression_mechanism,train,3257,0.6442,0.7518,0.7068,0.6521,0.6187,0.8083,"Enhance,Induce,Inhibit"
modified_protein_disjoint,logistic_regression_mechanism,test,931,0.5639,0.6953,0.5769,0.5791,0.6864,0.7364,"Enhance,Induce,Inhibit"
modified_protein_disjoint,logistic_regression_mechanism,val,465,0.6215,0.687,0.5986,0.6269,0.7051,0.8044,"Enhance,Induce,Inhibit"
modified_protein_disjoint,tree_baseline_mechanism,train,3257,0.9757,0.9822,0.9761,0.9758,0.2029,0.9983,"Enhance,Induce,Inhibit"
modified_protein_disjoint,tree_baseline_mechanism,test,931,0.6821,0.7112,0.6736,0.6527,0.6042,0.7691,"Enhance,Induce,Inhibit"
modified_protein_disjoint,tree_baseline_mechanism,val,465,0.6796,0.7076,0.6038,0.6466,0.6403,0.7681,"Enhance,Induce,Inhibit"
modified_protein_disjoint,sequence_embedding_logistic,train,3257,0.6773,0.7095,0.5461,0.6886,0.6726,0.8253,"Enhance,Induce,Inhibit"
modified_protein_disjoint,sequence_embedding_logistic,test,931,0.5424,0.3162,0.3304,0.5664,1.5014,0.4738,"Enhance,Induce,Inhibit"
modified_protein_disjoint,sequence_embedding_logistic,val,465,0.4215,0.2505,0.2667,0.4467,1.6861,0.4576,"Enhance,Induce,Inhibit"
modified_protein_disjoint,combined_mechanism_aware,train,3257,0.7608,0.8295,0.8076,0.7642,0.4612,0.9025,"Enhance,Induce,Inhibit"
modified_protein_disjoint,combined_mechanism_aware,test,931,0.5994,0.6167,0.5651,0.606,1.2215,0.7071,"Enhance,Induce,Inhibit"
modified_protein_disjoint,combined_mechanism_aware,val,465,0.6194,0.6345,0.5765,0.6238,1.3637,0.6722,"Enhance,Induce,Inhibit"
modified_protein_disjoint,mlp_sequence_embedding,train,3257,0.7449,0.5851,0.6411,0.7004,0.5257,0.8285,"Enhance,Induce,Inhibit"
modified_protein_disjoint,mlp_sequence_embedding,test,931,0.6531,0.3317,0.3052,0.58,0.9194,0.4864,"Enhance,Induce,Inhibit"
modified_protein_disjoint,mlp_sequence_embedding,val,465,0.6344,0.3512,0.334,0.577,0.9941,0.5775,"Enhance,Induce,Inhibit"
pair_disjoint,majority,train,3257,0.6555,0.3333,0.264,0.5191,12.4166,0.5,"Enhance,Induce,Inhibit"
pair_disjoint,majority,test,931,0.6692,0.3333,0.2673,0.5365,11.9242,0.5,"Enhance,Induce,Inhibit"
pair_disjoint,majority,val,465,0.6774,0.3333,0.2692,0.5471,11.627,0.5,"Enhance,Induce,Inhibit"
pair_disjoint,logistic_regression_mechanism,train,3257,0.6316,0.7552,0.6896,0.6419,0.6278,0.803,"Enhance,Induce,Inhibit"
pair_disjoint,logistic_regression_mechanism,test,931,0.6079,0.7225,0.7021,0.621,0.6489,0.771,"Enhance,Induce,Inhibit"
