claim	split_col	model	baseline	model_auprc	baseline_auprc	auprc_margin	mcc	ece	passes_gate
new protein-family generalization	S1_cold_homology_split	counterfactual_mlp	topology_only	0.8799045285649032	0.8366696684653246	0.043234860099578554	0.27948662230220134	0.22328755051469723	True
new protein-family generalization	S1_cold_homology_split	counterfactual_logistic	topology_only	0.8366063458297821	0.8366696684653246	-6.332263554253981e-05	0.22747442254912265	0.26948042659647803	False
new protein-family generalization	S1_cold_homology_split	counterfactual_no_ptmchem_logistic	topology_only	0.8345257717401644	0.8366696684653246	-0.0021438967251602437	0.18793076776696396	0.2756764369539533	False
new protein-family generalization	S1_cold_homology_split	ptm_delta_only	topology_only	0.7835441379159628	0.8366696684653246	-0.053125530549361866	0.10908216236676405	0.22891600185326308	False
new protein-family generalization	S1_cold_homology_split	sequence_random_forest	topology_only	0.9001622959277669	0.8366696684653246	0.06349262746244222	0.326288725023857	0.06570206925040953	True
new protein-family generalization	S1_cold_homology_split	sequence_logistic	topology_only	0.8088937890846858	0.8366696684653246	-0.027775879380638857	0.11731665807636593	0.282601304461457	False
new edge generalization	S2_cold_edge_split	counterfactual_mlp	topology_only	0.8383313551247793	0.8030001130924795	0.03533124203229976	0.20149958026254863	0.2516908547133988	False
new edge generalization	S2_cold_edge_split	counterfactual_logistic	topology_only	0.7651484138724005	0.8030001130924795	-0.03785169922007903	0.1974686915571795	0.2800329250002205	False
new edge generalization	S2_cold_edge_split	counterfactual_no_ptmchem_logistic	topology_only	0.7646529166096886	0.8030001130924795	-0.038347196482790946	0.18977101314791114	0.2786494548888444	False
new edge generalization	S2_cold_edge_split	ptm_delta_only	topology_only	0.7457884803114123	0.8030001130924795	-0.05721163278106722	0.08283436100854337	0.18206907632520133	False
new edge generalization	S2_cold_edge_split	sequence_random_forest	topology_only	0.8817295531625772	0.8030001130924795	0.07872944007009763	0.37910765639708416	0.05905056221618885	True
new edge generalization	S2_cold_edge_split	sequence_logistic	topology_only	0.7504606315292311	0.8030001130924795	-0.05253948156324839	0.18467691764924654	0.2855276597928732	False
new source/publication generalization	S3_source_publication_split	counterfactual_mlp	source_assay_only	0.7740156005584238	0.6751955287154248	0.09882007184299901	0.17374819221612686	0.23522773175703499	True
new source/publication generalization	S3_source_publication_split	counterfactual_logistic	source_assay_only	0.722171829301532	0.6751955287154248	0.046976300586107245	0.11608286871949913	0.2911174401452986	False
new source/publication generalization	S3_source_publication_split	counterfactual_no_ptmchem_logistic	source_assay_only	0.7244930573010224	0.6751955287154248	0.04929752858559766	0.09757374747148558	0.2781148629316327	False
new source/publication generalization	S3_source_publication_split	ptm_delta_only	source_assay_only	0.715387122748177	0.6751955287154248	0.04019159403275219	0.12872319601806684	0.16414758400923413	True
new source/publication generalization	S3_source_publication_split	sequence_random_forest	source_assay_only	0.8096663640414765	0.6751955287154248	0.13447083532605175	0.16456017047823218	0.06489141521678764	True
new source/publication generalization	S3_source_publication_split	sequence_logistic	source_assay_only	0.705033385610505	0.6751955287154248	0.029837856895080228	0.12126204792449322	0.28326304282061776	False
assay transfer	S4_assay_out_split	counterfactual_mlp	source_assay_only	0.8945173071275796	0.735357917570499	0.15915938955708064	0.24296986134998422	0.18929347980145256	True
assay transfer	S4_assay_out_split	counterfactual_logistic	source_assay_only	0.8475006995209993	0.735357917570499	0.11214278195050031	0.13313889307222956	0.20791649590493166	True
assay transfer	S4_assay_out_split	counterfactual_no_ptmchem_logistic	source_assay_only	0.8529127813667332	0.735357917570499	0.11755486379623425	0.1530189795430529	0.20411165502470696	True
assay transfer	S4_assay_out_split	ptm_delta_only	source_assay_only	0.7457500189484616	0.735357917570499	0.010392101377962648	0.0938871400513055	0.23823542826194097	False
assay transfer	S4_assay_out_split	sequence_random_forest	source_assay_only	0.9049185056105482	0.735357917570499	0.16956058804004925	0.3413419383749149	0.06827220831692438	True
assay transfer	S4_assay_out_split	sequence_logistic	source_assay_only	0.8431806538572144	0.735357917570499	0.10782273628671546	0.11618635472068409	0.22689532679632385	True
new motif mechanism generalization	S5_motif_family_split	counterfactual_mlp	motif_only	0.8597392396690576	0.835590136837855	0.02414910283120264	0.3321813702232637	0.19701027908536362	True
new motif mechanism generalization	S5_motif_family_split	counterfactual_logistic	motif_only	0.8321981334248147	0.835590136837855	-0.0033920034130402454	0.28997235833867047	0.23705479164906118	False
new motif mechanism generalization	S5_motif_family_split	counterfactual_no_ptmchem_logistic	motif_only	0.832333310299843	0.835590136837855	-0.0032568265380119588	0.29243217624404266	0.23443420358320666	False
new motif mechanism generalization	S5_motif_family_split	ptm_delta_only	motif_only	0.7615826831159191	0.835590136837855	-0.07400745372193585	0.07584591460469464	0.2288115453495187	False
new motif mechanism generalization	S5_motif_family_split	sequence_random_forest	motif_only	0.9151219708852345	0.835590136837855	0.07953183404737951	0.4596042298342748	0.07822106484049521	True
new motif mechanism generalization	S5_motif_family_split	sequence_logistic	motif_only	0.8103602612936889	0.835590136837855	-0.025229875544166114	0.252404267549516	0.22639548762881784	False
kinase/readout transfer	S6_kinase_proxy_split	counterfactual_mlp	motif_only	0.7803482284682397	0.699230632970552	0.08111759549768771	0.1532642583445535	0.27697538608485983	False
kinase/readout transfer	S6_kinase_proxy_split	counterfactual_logistic	motif_only	0.7009850803379354	0.699230632970552	0.0017544473673833938	0.04838538828568408	0.30541832087757725	False
kinase/readout transfer	S6_kinase_proxy_split	counterfactual_no_ptmchem_logistic	motif_only	0.7018453884175315	0.699230632970552	0.002614755446979533	0.05636950424124166	0.30675549933047186	False
kinase/readout transfer	S6_kinase_proxy_split	ptm_delta_only	motif_only	0.6776035194448191	0.699230632970552	-0.021627113525732877	0.0823736084286954	0.17690198813434665	False
kinase/readout transfer	S6_kinase_proxy_split	sequence_random_forest	motif_only	0.8337319613496965	0.699230632970552	0.13450132837914452	0.3801119684133149	0.0753881309198206	True
kinase/readout transfer	S6_kinase_proxy_split	sequence_logistic	motif_only	0.7035105752601007	0.699230632970552	0.004279942289548755	0.04400719192359078	0.29077431142998145	False
prospective temporal discovery	S7_temporal_prospective_split	counterfactual_mlp	topology_only	0.839824057554444	0.7848226187768719	0.05500143877757213	0.3048424663482647	0.20131413093928638	True
prospective temporal discovery	S7_temporal_prospective_split	counterfactual_logistic	topology_only	0.815797534940329	0.7848226187768719	0.030974916163457156	0.2913876564023919	0.2183764442255791	True
prospective temporal discovery	S7_temporal_prospective_split	counterfactual_no_ptmchem_logistic	topology_only	0.8163434512529926	0.7848226187768719	0.0315208324761207	0.2849146731466038	0.21905483967042433	True
prospective temporal discovery	S7_temporal_prospective_split	ptm_delta_only	topology_only	0.6290692087749672	0.7848226187768719	-0.15575341000190468	0.020930744439698768	0.19821834016561857	False
prospective temporal discovery	S7_temporal_prospective_split	sequence_random_forest	topology_only	0.8680583815647765	0.7848226187768719	0.08323576278790468	0.35312180950439737	0.07797841673027114	True
prospective temporal discovery	S7_temporal_prospective_split	sequence_logistic	topology_only	0.7894352951270022	0.7848226187768719	0.004612676350130296	0.23133258004761337	0.1932169961352179	False
topology-shielded network discovery	S8_topology_shielded_split	counterfactual_mlp	topology_only	0.6893750135009027	0.6657867883376622	0.02358822516324044	0.13202862962723014	0.2448941790230611	True
