split_col	axis	slice	test_events	enhance_rate	risk
S9_full_shield_split	assay_family	array	1	1.0	small_slice
S9_full_shield_split	assay_family	localization	1	0.0	small_slice
S9_full_shield_split	assay_family	two_hybrid	1	1.0	small_slice
S9_full_shield_split	assay_family	blot_overlay	7	0.7142857142857143	small_slice
S9_full_shield_split	assay_family	structure_or_simulation	12	0.75	small_slice
S9_full_shield_split	kinase_proxy	non_phos_Glyco	3	1.0	small_slice
S9_full_shield_split	kinase_proxy	non_phos_Me	13	0.38461538461538464	small_slice
S9_full_shield_split	kinase_proxy	non_phos_Ub	13	0.8461538461538461	small_slice
S9_full_shield_split	kinase_proxy	non_phos_Ac	15	0.6	small_slice
S9_full_shield_split	motif_family	glycosylation_site	3	1.0	small_slice
S9_full_shield_split	motif_family	methyl_reader_candidate	13	0.38461538461538464	small_slice
S9_full_shield_split	motif_family	acetyl_lysine_reader_candidate	15	0.6	small_slice
S9_full_shield_split	ptm_type	Glyco	3	1.0	small_slice
S9_full_shield_split	ptm_type	Me	13	0.38461538461538464	small_slice
S9_full_shield_split	ptm_type	Ub	13	0.8461538461538461	small_slice
S9_full_shield_split	ptm_type	Ac	15	0.6	small_slice
S9_full_shield_split	assay_family	other	36	0.4722222222222222	ok
S9_full_shield_split	assay_family	biophysical	45	0.7777777777777778	ok
S9_full_shield_split	assay_family	pull_down	143	0.7482517482517482	ok
S9_full_shield_split	assay_family	co_ip	327	0.7951070336391437	ok
S9_full_shield_split	kinase_proxy	non_phos_Sumo	22	0.7727272727272727	ok
S9_full_shield_split	kinase_proxy	other_ser_thr_kinase_proxy	41	0.7317073170731707	ok
S9_full_shield_split	kinase_proxy	acidophilic_kinase_proxy	54	0.6851851851851852	ok
S9_full_shield_split	kinase_proxy	proline_directed_kinase_proxy	96	0.6979166666666666	ok
S9_full_shield_split	kinase_proxy	basophilic_kinase_proxy	164	0.7012195121951219	ok
S9_full_shield_split	motif_family	ubiquitin_like_lysine	35	0.8	ok
S9_full_shield_split	motif_family	acidic_phosphosite_candidate	56	0.6964285714285714	ok
S9_full_shield_split	motif_family	other_phosphosite	61	0.639344262295082	ok
S9_full_shield_split	motif_family	basophilic_phosphosite_candidate	73	0.4794520547945205	ok
S9_full_shield_split	motif_family	proline_directed_pin1_ww_candidate	95	0.6947368421052632	ok
S9_full_shield_split	ptm_type	Sumo	22	0.7727272727272727	ok
S9_full_shield_split	ptm_type	Phos	507	0.7692307692307693	ok
S9_full_shield_split	kinase_proxy	tyrosine_kinase_proxy	152	0.9276315789473685	label_skew
S9_full_shield_split	motif_family	reader_14_3_3_edge	71	1.0	label_skew
S9_full_shield_split	motif_family	phosphotyrosine_reader_candidate	151	0.9271523178807947	label_skew
