split_col	held_out_axis	train_rows	valid_rows	test_rows	train_valid_overlap	train_test_overlap	valid_test_overlap	test_pos_rate
S0_random_split	none	2676	573	575				0.7078260869565217
S1_cold_homology_split	homology_pair_cluster	2677	574	573	0.0	0.0	0.0	0.7242582897033158
S2_cold_edge_split	pair_key	2677	574	573	0.0	0.0	0.0	0.680628272251309
S3_source_publication_split	pmid	2677	574	573	0.0	0.0	0.0	0.6631762652705061
S4_assay_out_split	assay_family	2570	793	461	0.0	0.0	0.0	0.735357917570499
S5_motif_family_split	motif_cluster	2677	574	573	0.0	0.0	0.0	0.7190226876090751
S6_kinase_proxy_split	kinase_proxy	2620	568	636	0.0	0.0	0.0	0.6666666666666666
S7_temporal_prospective_split	publication_year	2795	594	435	0.0	0.0	0.0	0.6229885057471264
S8_topology_shielded_split	topology_pair_community	2677	574	573	0.0	0.0	0.0	0.581151832460733
S9_full_shield_split	full_shield_component	2677	574	573	0.0	0.0	0.0	0.7591623036649214
