event_id_a	event_id_b	contact_jaccard
event_00857	event_00858	0.52
event_02302	event_02303	0.5652173913043478
event_01661	event_01662	0.4444444444444444
event_00035	event_00043	0.32727272727272727
event_02781	event_02787	0.5254237288135594
event_00908	event_00910	0.5058823529411764
event_00297	event_00299	0.5733333333333334
event_01980	event_01982	0.5672514619883041
event_02087	event_02088	0.5185185185185185
event_00863	event_00866	0.625
event_01425	event_01430	0.26804123711340205
event_01176	event_01177	0.6022727272727273
event_00667	event_00673	0.5802615933412604
event_02278	event_02280	0.4222222222222222
event_00550	event_00554	0.5042735042735043
event_03331	event_03333	0.29333333333333333
event_01666	event_01672	0.5081967213114754
event_03413	event_03415	0.45454545454545453
event_00427	event_00429	0.5428571428571428
event_02483	event_02485	0.5272727272727272
event_00034	event_00038	0.32
event_03412	event_03415	0.45454545454545453
event_01877	event_01879	0.47761194029850745
event_01498	event_01500	0.5483870967741935
event_00596	event_00597	0.5111111111111111
event_02224	event_02226	0.4461538461538462
event_02796	event_02799	0.5268817204301075
event_02171	event_02172	0.55
event_00942	event_00944	1.0
event_03671	event_03672	0.5555555555555556
event_03589	event_03590	0.5443037974683544
event_03481	event_03482	1.0
event_03290	event_03293	0.2553191489361702
event_00874	event_00882	0.579088471849866
event_01765	event_01766	0.4945054945054945
event_00877	event_00883	0.5897435897435898
event_02216	event_02217	0.4791666666666667
event_01947	event_01948	1.0
event_03594	event_03595	0.5329949238578681
event_01521	event_01524	0.5164835164835165
event_01073	event_01074	0.49019607843137253
event_00652	event_00653	0.45054945054945056
event_00330	event_00335	0.25
event_01735	event_01739	0.5138888888888888
event_00297	event_00298	0.6164383561643836
event_00006	event_00007	1.0
event_03017	event_03018	0.5402298850574713
event_01012	event_01013	0.5348837209302325
event_01497	event_01499	0.5737704918032787
event_00199	event_00201	0.47058823529411764
event_00418	event_00422	0.5483870967741935
event_01663	event_01669	0.5081967213114754
event_02605	event_02608	0.47058823529411764
event_01537	event_01538	0.5357142857142857
event_03695	event_03696	1.0
event_02848	event_02858	0.48424068767908307
event_01215	event_01216	0.5686274509803921
event_02851	event_02860	0.4757834757834758
event_03394	event_03396	0.5464684014869888
event_02813	event_02815	0.5483870967741935
event_01640	event_01645	0.5102040816326531
event_01948	event_01954	0.5277777777777778
event_02702	event_02705	0.5918367346938775
event_03215	event_03216	1.0
event_03443	event_03448	0.54
event_01986	event_01987	1.0
event_00418	event_00420	0.5609756097560976
event_02577	event_02578	0.5128205128205128
event_00506	event_00509	0.6428571428571429
event_02363	event_02364	0.6
event_00747	event_00749	0.543859649122807
event_02861	event_02866	0.5190615835777126
event_01808	event_01809	0.4883720930232558
event_01349	event_01350	0.5
event_00509	event_00510	1.0
event_02850	event_02868	0.4885057471264368
event_03675	event_03676	1.0
event_03244	event_03245	0.5348837209302325
event_01346	event_01349	0.5
event_00441	event_00442	0.5604395604395604
event_00424	event_00427	0.5211267605633803
event_00922	event_00926	0.4461538461538462
event_03078	event_03080	0.543859649122807
event_03708	event_03710	0.5116279069767442
event_02078	event_02079	0.5020408163265306
event_02856	event_02862	0.49710982658959535
event_02857	event_02858	1.0
event_03212	event_03216	0.5428571428571428
event_00606	event_00608	0.5779816513761468
event_02311	event_02312	0.6521739130434783
event_01665	event_01673	0.5081967213114754
event_00554	event_00559	0.5172413793103449
event_01912	event_01913	1.0
event_00199	event_00205	0.3300970873786408
event_03288	event_03290	0.5364238410596026
event_00205	event_00206	0.4745762711864407
event_01347	event_01348	0.5454545454545454
event_01803	event_01804	0.5213675213675214
event_02852	event_02855	0.4757834757834758
event_00891	event_00892	0.46938775510204084
event_01094	event_01098	0.5294117647058824
event_01359	event_01360	0.5692307692307692
event_03447	event_03452	0.5247524752475248
event_01665	event_01671	0.5081967213114754
event_02860	event_02863	0.5235294117647059
event_00978	event_00982	0.5294117647058824
event_02164	event_02165	0.5277777777777778
event_02791	event_02792	0.5604395604395604
event_01479	event_01480	1.0
event_02860	event_02864	0.5190615835777126
event_00390	event_00391	0.6039603960396039
