model	random_auprc	random_mcc	random_ece	mean_shield_auprc	worst_shield_auprc	mean_shield_mcc	mean_shield_ece	random_to_mean_shield_auprc_drop	random_to_worst_shield_auprc_drop
counterfactual_mlp	0.9352173980928296	0.5290925509063947	0.1542592637046524	0.827480286569565	0.6893750135009027	0.23479152404715897	0.22205184444539755	0.1077371115232646	0.24584238459192687
counterfactual_logistic	0.8828654540606341	0.3943770358962821	0.147818823092281	0.7841477269002123	0.6805972316832276	0.18090957625593795	0.26307681137540023	0.09871772716042182	0.2022682223774065
counterfactual_no_ptmchem_logistic	0.8827432757694547	0.3943770358962821	0.1477546134659485	0.7848209096122296	0.6806600679516752	0.17810237508596352	0.2621362701500758	0.09792236615722505	0.20208320781777944
motif_only	0.8583482279061763	0.2854383166891467	0.1915530115742242	0.7854542881398647	0.6565824296466815	0.17700458133520805	0.2050902753593861	0.07289393976631153	0.2017657982594948
ptm_delta_only	0.8116576964845114	0.2578453821897806	0.1955046006113883	0.7225148542844717	0.6243982249659248	0.09861824860811269	0.2022291939253517	0.08914284220003965	0.18725947151858657
sequence_logistic	0.8589150167278203	0.3808315777680848	0.1504481394555709	0.7652138224241002	0.6719158461160415	0.14361724602892278	0.2584320166270239	0.09370119430372015	0.18699917061177884
sequence_random_forest	0.9490583707887188	0.5490893325309584	0.0627343610090424	0.865733499846858	0.766947623550066	0.33981650786378953	0.07223127647367747	0.0833248709418608	0.18211074723865284
topology_only	0.8401814808654109	0.2678303482795398	0.1486119273504612	0.8038387780083063	0.6657867883376622	0.2367495565902457	0.13598941033099454	0.036342702857104614	0.17439469252774864
source_assay_only	0.7891263118224956	0.1628036476842432	0.1900056819558283	0.7101534105221371	0.6150616387235589	0.05834276356826664	0.20067967203869258	0.0789729013003585	0.1740646730989367
class_prior	0.7078260869565217	0.0	0.0206063560148174	0.6852238220874345	0.581151832460733	0.0	0.052639937248265135	0.02260226486908723	0.12667425449578873
counterfactual_shuffled_labels				0.6857413436815634	0.6224293609558306	0.0585622312704422	0.2591484587832229		
