_benchmark_split,_split_row_id,_split,effect_label,modified_uniprot,partner_uniprot
pmid_disjoint,0,train,Enhance,Q16613,P63104
pmid_disjoint,1,train,Inhibit,Q9NY61,P19105
pmid_disjoint,2,train,Enhance,Q9UNQ0,Q9UNQ0
pmid_disjoint,3,train,Enhance,Q8IZP0,P27986
pmid_disjoint,4,train,Inhibit,Q9P2A4,Q7L576
pmid_disjoint,5,train,Inhibit,Q9P2A4,Q9Y6W5
pmid_disjoint,6,train,Enhance,P00519,P31946
pmid_disjoint,7,train,Enhance,P00519,P31946
pmid_disjoint,8,train,Enhance,Q6UWZ7,P38398
pmid_disjoint,9,train,Enhance,Q6UWZ7,P38398
pmid_disjoint,10,test,Enhance,Q15018,Q9UQQ2
pmid_disjoint,11,train,Enhance,Q13085,P38398
pmid_disjoint,12,val,Enhance,Q13085,P38398
pmid_disjoint,13,train,Enhance,Q13085,P38398
pmid_disjoint,14,train,Enhance,Q15027,P05556
pmid_disjoint,15,train,Enhance,P12821,P35579
pmid_disjoint,16,train,Inhibit,Q9BYF1,Q96CW1
pmid_disjoint,17,train,Enhance,Q9BYF1,Q96CW1
pmid_disjoint,18,train,Enhance,Q9BYF1,P06241
pmid_disjoint,19,train,Enhance,Q9BYF1,O95166
pmid_disjoint,20,train,Enhance,Q9BYF1,P07948
pmid_disjoint,21,train,Enhance,Q9BYF1,Q9H492
pmid_disjoint,22,train,Enhance,P25106,P49407
pmid_disjoint,23,train,Enhance,P25106,P49407
pmid_disjoint,24,val,Inhibit,Q8N9L9,P0DMV8
pmid_disjoint,25,val,Inhibit,P60709,P35580
pmid_disjoint,26,train,Enhance,P12814,P12931
pmid_disjoint,27,val,Inhibit,O43707,P68133
pmid_disjoint,28,val,Inhibit,O43707,P68133
pmid_disjoint,29,val,Enhance,O43707,P68133
pmid_disjoint,30,train,Inhibit,O43707,P60709
pmid_disjoint,31,train,Inhibit,O43707,P60709
pmid_disjoint,32,train,Inhibit,O43707,P60709
pmid_disjoint,33,train,Inhibit,O43707,P60709
pmid_disjoint,34,train,Enhance,Q9P0K1,P31946
pmid_disjoint,35,train,Enhance,Q9P0K1,P31946
pmid_disjoint,36,train,Enhance,Q9P0K1,P62258
pmid_disjoint,37,train,Enhance,Q9P0K1,P62258
pmid_disjoint,38,train,Enhance,Q9P0K1,P61981
pmid_disjoint,39,train,Enhance,Q9P0K1,P61981
pmid_disjoint,40,train,Enhance,Q9P0K1,Q04917
pmid_disjoint,41,train,Enhance,Q9P0K1,Q04917
pmid_disjoint,42,train,Enhance,Q9P0K1,P27348
pmid_disjoint,43,train,Enhance,Q9P0K1,P27348
pmid_disjoint,44,train,Enhance,Q9P0K1,P63104
pmid_disjoint,45,train,Enhance,Q9P0K1,P63104
pmid_disjoint,46,val,Inhibit,P35611,P12814
pmid_disjoint,47,val,Inhibit,P35611,P52294
pmid_disjoint,48,train,Enhance,P35611,Q9HD67
pmid_disjoint,49,train,Enhance,P35611,Q9HD67
pmid_disjoint,50,test,Enhance,P35611,Q9ULW0
pmid_disjoint,51,train,Enhance,P29274,P14416
pmid_disjoint,52,train,Enhance,P07550,P36575
pmid_disjoint,53,train,Enhance,P07550,P36575
pmid_disjoint,54,train,Enhance,P07550,P36575
pmid_disjoint,55,train,Enhance,P07550,P49407
pmid_disjoint,56,test,Inhibit,P07550,O14745
pmid_disjoint,57,train,Enhance,Q8N4X5,P27986
pmid_disjoint,58,train,Enhance,P51825,P50750
pmid_disjoint,59,train,Enhance,P51825,P50750
pmid_disjoint,60,train,Enhance,Q15109,Q9NWZ3
pmid_disjoint,61,train,Enhance,Q15109,Q99836
pmid_disjoint,62,train,Enhance,Q15109,P58753
pmid_disjoint,63,test,Inhibit,Q9UKV8,Q9UPY3
pmid_disjoint,64,test,Inhibit,Q9UKV8,Q9UPY3
pmid_disjoint,65,train,Inhibit,Q9UKV8,Q9UPY3
pmid_disjoint,66,train,Inhibit,Q9UKV8,Q9UPY3
pmid_disjoint,67,val,Enhance,Q9UKV8,Q9UGP4
pmid_disjoint,68,test,Inhibit,Q9UKV8,Q15633
pmid_disjoint,69,train,Inhibit,Q9UKV8,Q15633
pmid_disjoint,70,test,Enhance,Q9UKV8,Q8NDV7
pmid_disjoint,71,train,Enhance,P30556,P49407
pmid_disjoint,72,train,Enhance,P30556,P49407
pmid_disjoint,73,train,Enhance,P30556,P49407
pmid_disjoint,74,train,Enhance,P30556,P49407
pmid_disjoint,75,train,Enhance,P30556,P49407
pmid_disjoint,76,train,Enhance,P30556,P49407
pmid_disjoint,77,train,Enhance,P30556,P49407
pmid_disjoint,78,train,Enhance,P30556,P49407
pmid_disjoint,79,train,Enhance,P30556,P32121
pmid_disjoint,80,train,Enhance,P30556,P32121
pmid_disjoint,81,train,Enhance,P30556,P32121
pmid_disjoint,82,train,Enhance,P30556,P32121
pmid_disjoint,83,test,Enhance,P30556,P19174
pmid_disjoint,84,train,Enhance,O43865,O14745
pmid_disjoint,85,val,Enhance,O95433,P07900
pmid_disjoint,86,train,Enhance,O95433,P07900
pmid_disjoint,87,train,Inhibit,O95831,O00629
pmid_disjoint,88,train,Inhibit,Q12904,P14625
pmid_disjoint,89,test,Inhibit,Q13155,P07814
pmid_disjoint,90,train,Enhance,O00170,P07900
pmid_disjoint,91,train,Enhance,O00170,P07900
pmid_disjoint,92,train,Enhance,O43918,Q9UK99
pmid_disjoint,93,train,Enhance,O43918,Q9UK99
pmid_disjoint,94,train,Inhibit,Q92667,P62136
pmid_disjoint,95,train,Inhibit,Q92667,P62136
pmid_disjoint,96,train,Enhance,Q02952,P07550
pmid_disjoint,97,train,Enhance,Q02952,P07550
pmid_disjoint,98,train,Enhance,Q02952,P07550
pmid_disjoint,99,val,Enhance,Q02952,P53350
pmid_disjoint,100,train,Enhance,Q12802,P31946
pmid_disjoint,101,train,Enhance,Q12802,P61981
pmid_disjoint,102,test,Inhibit,P24588,P60709
pmid_disjoint,103,test,Inhibit,P24588,P60709
pmid_disjoint,104,train,Enhance,P31749,Q8WX93
pmid_disjoint,105,train,Enhance,P31749,Q13526
pmid_disjoint,106,train,Enhance,P31749,Q13526
pmid_disjoint,107,train,Enhance,P31749,Q9Y4K3
pmid_disjoint,108,train,Enhance,P31749,Q9Y4K3
