_benchmark_split,_split_row_id,_split,effect_label,modified_uniprot,partner_uniprot
site_disjoint,0,train,Enhance,Q16613,P63104
site_disjoint,1,train,Inhibit,Q9NY61,P19105
site_disjoint,2,train,Enhance,Q9UNQ0,Q9UNQ0
site_disjoint,3,train,Enhance,Q8IZP0,P27986
site_disjoint,4,train,Inhibit,Q9P2A4,Q7L576
site_disjoint,5,train,Inhibit,Q9P2A4,Q9Y6W5
site_disjoint,6,val,Enhance,P00519,P31946
site_disjoint,7,val,Enhance,P00519,P31946
site_disjoint,8,train,Enhance,Q6UWZ7,P38398
site_disjoint,9,train,Enhance,Q6UWZ7,P38398
site_disjoint,10,train,Enhance,Q15018,Q9UQQ2
site_disjoint,11,train,Enhance,Q13085,P38398
site_disjoint,12,train,Enhance,Q13085,P38398
site_disjoint,13,train,Enhance,Q13085,P38398
site_disjoint,14,test,Enhance,Q15027,P05556
site_disjoint,15,test,Enhance,P12821,P35579
site_disjoint,16,train,Inhibit,Q9BYF1,Q96CW1
site_disjoint,17,test,Enhance,Q9BYF1,Q96CW1
site_disjoint,18,train,Enhance,Q9BYF1,P06241
site_disjoint,19,test,Enhance,Q9BYF1,O95166
site_disjoint,20,train,Enhance,Q9BYF1,P07948
site_disjoint,21,test,Enhance,Q9BYF1,Q9H492
site_disjoint,22,train,Enhance,P25106,P49407
site_disjoint,23,train,Enhance,P25106,P49407
site_disjoint,24,train,Inhibit,Q8N9L9,P0DMV8
site_disjoint,25,val,Inhibit,P60709,P35580
site_disjoint,26,test,Enhance,P12814,P12931
site_disjoint,27,train,Inhibit,O43707,P68133
site_disjoint,28,test,Inhibit,O43707,P68133
site_disjoint,29,train,Enhance,O43707,P68133
site_disjoint,30,train,Inhibit,O43707,P60709
site_disjoint,31,test,Inhibit,O43707,P60709
site_disjoint,32,test,Inhibit,O43707,P60709
site_disjoint,33,train,Inhibit,O43707,P60709
site_disjoint,34,val,Enhance,Q9P0K1,P31946
site_disjoint,35,test,Enhance,Q9P0K1,P31946
site_disjoint,36,val,Enhance,Q9P0K1,P62258
site_disjoint,37,test,Enhance,Q9P0K1,P62258
site_disjoint,38,val,Enhance,Q9P0K1,P61981
site_disjoint,39,test,Enhance,Q9P0K1,P61981
site_disjoint,40,val,Enhance,Q9P0K1,Q04917
site_disjoint,41,test,Enhance,Q9P0K1,Q04917
site_disjoint,42,val,Enhance,Q9P0K1,P27348
site_disjoint,43,test,Enhance,Q9P0K1,P27348
site_disjoint,44,val,Enhance,Q9P0K1,P63104
site_disjoint,45,test,Enhance,Q9P0K1,P63104
site_disjoint,46,test,Inhibit,P35611,P12814
site_disjoint,47,val,Inhibit,P35611,P52294
site_disjoint,48,test,Enhance,P35611,Q9HD67
site_disjoint,49,train,Enhance,P35611,Q9HD67
site_disjoint,50,train,Enhance,P35611,Q9ULW0
site_disjoint,51,train,Enhance,P29274,P14416
site_disjoint,52,train,Enhance,P07550,P36575
site_disjoint,53,train,Enhance,P07550,P36575
site_disjoint,54,train,Enhance,P07550,P36575
site_disjoint,55,train,Enhance,P07550,P49407
site_disjoint,56,train,Inhibit,P07550,O14745
site_disjoint,57,train,Enhance,Q8N4X5,P27986
site_disjoint,58,test,Enhance,P51825,P50750
site_disjoint,59,val,Enhance,P51825,P50750
site_disjoint,60,val,Enhance,Q15109,Q9NWZ3
site_disjoint,61,val,Enhance,Q15109,Q99836
site_disjoint,62,val,Enhance,Q15109,P58753
site_disjoint,63,train,Inhibit,Q9UKV8,Q9UPY3
