_benchmark_split,_split_row_id,_split,effect_label,modified_uniprot,partner_uniprot
modified_protein_disjoint,0,train,Enhance,Q16613,P63104
modified_protein_disjoint,1,train,Inhibit,Q9NY61,P19105
modified_protein_disjoint,2,test,Enhance,Q9UNQ0,Q9UNQ0
modified_protein_disjoint,3,train,Enhance,Q8IZP0,P27986
modified_protein_disjoint,4,train,Inhibit,Q9P2A4,Q7L576
modified_protein_disjoint,5,train,Inhibit,Q9P2A4,Q9Y6W5
modified_protein_disjoint,6,train,Enhance,P00519,P31946
modified_protein_disjoint,7,train,Enhance,P00519,P31946
modified_protein_disjoint,8,train,Enhance,Q6UWZ7,P38398
modified_protein_disjoint,9,train,Enhance,Q6UWZ7,P38398
modified_protein_disjoint,10,train,Enhance,Q15018,Q9UQQ2
modified_protein_disjoint,11,train,Enhance,Q13085,P38398
modified_protein_disjoint,12,train,Enhance,Q13085,P38398
modified_protein_disjoint,13,train,Enhance,Q13085,P38398
modified_protein_disjoint,14,train,Enhance,Q15027,P05556
modified_protein_disjoint,15,test,Enhance,P12821,P35579
modified_protein_disjoint,16,test,Inhibit,Q9BYF1,Q96CW1
modified_protein_disjoint,17,test,Enhance,Q9BYF1,Q96CW1
modified_protein_disjoint,18,test,Enhance,Q9BYF1,P06241
modified_protein_disjoint,19,test,Enhance,Q9BYF1,O95166
modified_protein_disjoint,20,test,Enhance,Q9BYF1,P07948
modified_protein_disjoint,21,test,Enhance,Q9BYF1,Q9H492
modified_protein_disjoint,22,train,Enhance,P25106,P49407
modified_protein_disjoint,23,train,Enhance,P25106,P49407
modified_protein_disjoint,24,test,Inhibit,Q8N9L9,P0DMV8
modified_protein_disjoint,25,train,Inhibit,P60709,P35580
modified_protein_disjoint,26,train,Enhance,P12814,P12931
modified_protein_disjoint,27,train,Inhibit,O43707,P68133
modified_protein_disjoint,28,train,Inhibit,O43707,P68133
modified_protein_disjoint,29,train,Enhance,O43707,P68133
modified_protein_disjoint,30,train,Inhibit,O43707,P60709
modified_protein_disjoint,31,train,Inhibit,O43707,P60709
modified_protein_disjoint,32,train,Inhibit,O43707,P60709
modified_protein_disjoint,33,train,Inhibit,O43707,P60709
modified_protein_disjoint,34,train,Enhance,Q9P0K1,P31946
modified_protein_disjoint,35,train,Enhance,Q9P0K1,P31946
modified_protein_disjoint,36,train,Enhance,Q9P0K1,P62258
modified_protein_disjoint,37,train,Enhance,Q9P0K1,P62258
modified_protein_disjoint,38,train,Enhance,Q9P0K1,P61981
modified_protein_disjoint,39,train,Enhance,Q9P0K1,P61981
modified_protein_disjoint,40,train,Enhance,Q9P0K1,Q04917
modified_protein_disjoint,41,train,Enhance,Q9P0K1,Q04917
modified_protein_disjoint,42,train,Enhance,Q9P0K1,P27348
modified_protein_disjoint,43,train,Enhance,Q9P0K1,P27348
