event_id	modified_uniprot	partner_uniprot	interface_signature_size	interface_contact_count	structure_complexes	interface_cluster_id
event_00000	Q16613	P63104	64	35	Complex2735	interface_cluster_0
event_00001	Q9NY61	P19105	49	25	Complex3475	interface_cluster_1
event_00002	Q9UNQ0	Q9UNQ0	164	186	Complex3607	interface_cluster_2
event_00003	Q8IZP0	P27986	32	12	Complex2954	interface_cluster_3
event_00004	Q9P2A4	Q7L576	58	25	Complex3517	interface_cluster_4
event_00005	Q9P2A4	Q9Y6W5	91	44	Complex3518	interface_cluster_5
event_00006	P00519	P31946	39	18	Complex429	interface_cluster_6
event_00007	P00519	P31946	39	18	Complex429	interface_cluster_6
event_00008	Q6UWZ7	P38398	76	31	Complex2881	interface_cluster_7
event_00009	Q6UWZ7	P38398	76	31	Complex2881	interface_cluster_7
event_00010	Q15018	Q9UQQ2	68	30	Complex2564	interface_cluster_8
event_00011	Q13085	P38398	64	23	Complex2309	interface_cluster_9
event_00012	Q13085	P38398	64	23	Complex2309	interface_cluster_9
event_00013	Q13085	P38398	64	23	Complex2309	interface_cluster_9
event_00014	Q15027	P05556	70	39	Complex2568	interface_cluster_10
event_00015	P12821	P35579	48	19	Complex918	interface_cluster_11
event_00016	Q9BYF1	Q96CW1	41	22	Complex3308	interface_cluster_12
event_00017	Q9BYF1	Q96CW1	41	22	Complex3308	interface_cluster_12
event_00018	Q9BYF1	P06241	55	24	Complex3309	interface_cluster_13
event_00019	Q9BYF1	O95166	33	19	Complex3312	interface_cluster_14
event_00020	Q9BYF1	P07948	59	25	Complex3310	interface_cluster_15
event_00021	Q9BYF1	Q9H492	22	11	Complex3313	interface_cluster_16
event_00022	P25106	P49407	90	45	Complex1201	interface_cluster_17
event_00023	P25106	P49407	90	45	Complex1201	interface_cluster_17
event_00024	Q8N9L9	P0DMV8	33	13	Complex2971	interface_cluster_18
event_00025	P60709	P35580	248	164	Complex1866	interface_cluster_19
event_00026	P12814	P12931	19	8	Complex917	interface_cluster_20
event_00027	O43707	P68133	71	44	Complex189	interface_cluster_21
event_00028	O43707	P68133	71	44	Complex189	interface_cluster_21
event_00029	O43707	P68133	71	44	Complex189	interface_cluster_21
event_00030	O43707	P60709	24	11	Complex190	interface_cluster_22
event_00031	O43707	P60709	24	11	Complex190	interface_cluster_22
event_00032	O43707	P60709	24	11	Complex190	interface_cluster_22
event_00033	O43707	P60709	24	11	Complex190	interface_cluster_22
event_00034	Q9P0K1	P31946	36	17	Complex3502	interface_cluster_23
event_00035	Q9P0K1	P31946	36	17	Complex3502	interface_cluster_23
event_00036	Q9P0K1	P62258	34	14	Complex3503	interface_cluster_24
event_00037	Q9P0K1	P62258	34	14	Complex3503	interface_cluster_24
event_00038	Q9P0K1	P61981	30	15	Complex3505	interface_cluster_23
event_00039	Q9P0K1	P61981	30	15	Complex3505	interface_cluster_23
event_00040	Q9P0K1	Q04917	27	15	Complex3504	interface_cluster_23
event_00041	Q9P0K1	Q04917	27	15	Complex3504	interface_cluster_23
event_00042	Q9P0K1	P27348	37	18	Complex3506	interface_cluster_23
event_00043	Q9P0K1	P27348	37	18	Complex3506	interface_cluster_23
event_00044	Q9P0K1	P63104	35	16	Complex3507	interface_cluster_23
event_00045	Q9P0K1	P63104	35	16	Complex3507	interface_cluster_23
event_00046	P35611	P12814	36	18	Complex1425	interface_cluster_25
event_00047	P35611	P52294	21	7	Complex1424	interface_cluster_26
event_00048	P35611	Q9HD67	45	18	Complex1422	interface_cluster_27
event_00049	P35611	Q9HD67	45	18	Complex1422	interface_cluster_27
event_00050	P35611	Q9ULW0	90	38	Complex1426	interface_cluster_28
event_00051	P29274	P14416	69	42	Complex1231	interface_cluster_29
event_00052	P07550	P36575	41	19	Complex693	interface_cluster_30
event_00053	P07550	P36575	41	19	Complex693	interface_cluster_30
event_00054	P07550	P36575	41	19	Complex693	interface_cluster_30
event_00055	P07550	P49407	59	24	Complex692	interface_cluster_31
event_00056	P07550	O14745	63	31	Complex696	interface_cluster_32
event_00057	Q8N4X5	P27986	57	27	Complex2965	interface_cluster_33
event_00058	P51825	P50750	90	55	Complex1762	interface_cluster_34
event_00059	P51825	P50750	90	55	Complex1762	interface_cluster_34
event_00060	Q15109	Q9NWZ3	37	16	Complex2570	interface_cluster_35
event_00061	Q15109	Q99836	40	22	Complex2571	interface_cluster_36
event_00062	Q15109	P58753	50	28	Complex2572	interface_cluster_37
event_00063	Q9UKV8	Q9UPY3	81	32	Complex3584_1,Complex3584_2	interface_cluster_38
event_00064	Q9UKV8	Q9UPY3	81	32	Complex3584_1,Complex3584_2	interface_cluster_38
event_00065	Q9UKV8	Q9UGP4	77	33	Complex3582	interface_cluster_39
event_00066	Q9UKV8	Q15633	37	17	Complex2651	interface_cluster_40
event_00067	Q9UKV8	Q15633	37	17	Complex2651	interface_cluster_40
event_00068	Q9UKV8	Q8NDV7	194	98	Complex3583	interface_cluster_41
event_00069	P30556	P49407	40	19	Complex1307	interface_cluster_42
event_00070	P30556	P49407	40	19	Complex1307	interface_cluster_42
event_00071	P30556	P49407	40	19	Complex1307	interface_cluster_42
event_00072	P30556	P49407	40	19	Complex1307	interface_cluster_42
event_00073	P30556	P49407	40	19	Complex1307	interface_cluster_42
event_00074	P30556	P49407	40	19	Complex1307	interface_cluster_42
event_00075	P30556	P49407	40	19	Complex1307	interface_cluster_42
event_00076	P30556	P49407	40	19	Complex1307	interface_cluster_42
event_00077	P30556	P32121	58	27	Complex1309	interface_cluster_43
event_00078	P30556	P32121	58	27	Complex1309	interface_cluster_43
event_00079	P30556	P32121	58	27	Complex1309	interface_cluster_43
event_00080	P30556	P32121	58	27	Complex1309	interface_cluster_43
event_00081	P30556	P19174	48	22	Complex1306	interface_cluster_44
event_00082	O43865	O14745	86	42	Complex200	interface_cluster_45
event_00083	O95433	P07900	50	24	Complex347	interface_cluster_46
event_00084	O95433	P07900	50	24	Complex347	interface_cluster_46
event_00085	O95831	O00629	45	19	Complex370	interface_cluster_47
event_00086	Q12904	P14625	35	16	Complex2288	interface_cluster_48
event_00087	Q13155	P07814	0	0		interface_cluster_49
event_00088	O00170	P07900	0	0		interface_cluster_50
event_00089	O00170	P07900	0	0		interface_cluster_51
event_00090	O43918	Q9UK99	62	32	Complex201	interface_cluster_52
event_00091	O43918	Q9UK99	62	32	Complex201	interface_cluster_52
event_00092	Q92667	P62136	48	21	Complex3089	interface_cluster_53
event_00093	Q92667	P62136	48	21	Complex3089	interface_cluster_53
event_00094	Q02952	P07550	43	18	Complex2146	interface_cluster_54
event_00095	Q02952	P07550	43	18	Complex2146	interface_cluster_54
event_00096	Q02952	P07550	43	18	Complex2146	interface_cluster_54
event_00097	Q02952	P53350	47	20	Complex2148	interface_cluster_55
event_00098	Q12802	P31946	59	28	Complex2276	interface_cluster_56
event_00099	Q12802	P61981	60	28	Complex2277	interface_cluster_57
event_00100	P24588	P60709	63	31	Complex1188	interface_cluster_58
event_00101	P24588	P60709	63	31	Complex1188	interface_cluster_58
event_00102	P31749	Q8WX93	31	11	Complex1330	interface_cluster_59
event_00103	P31749	Q13526	43	18	Complex1329	interface_cluster_60
event_00104	P31749	Q13526	43	18	Complex1329	interface_cluster_60
event_00105	P31749	Q9Y4K3	76	33	Complex1331	interface_cluster_61
event_00106	P31749	Q9Y4K3	76	33	Complex1331	interface_cluster_61
event_00107	Q96B36	Q8N122	92	61	Complex3132	interface_cluster_62
event_00108	Q96B36	Q8N122	92	61	Complex3132	interface_cluster_62
event_00109	Q96B36	Q8N122	92	61	Complex3132	interface_cluster_62
event_00110	Q96B36	Q8N122	92	61	Complex3132	interface_cluster_62
event_00111	Q96B36	Q8N122	92	61	Complex3132	interface_cluster_62
event_00112	Q96B36	P31946	90	42	Complex3131	interface_cluster_63
event_00113	Q96B36	P31946	90	42	Complex3131	interface_cluster_63
event_00114	Q96B36	P31946	90	42	Complex3131	interface_cluster_63
event_00115	Q96B36	P31946	90	42	Complex3131	interface_cluster_63
event_00116	P00352	P00352	110	94	Complex419	interface_cluster_64
event_00117	P00352	P00352	110	94	Complex419	interface_cluster_64
event_00118	P00352	P00352	110	94	Complex419	interface_cluster_64
event_00119	Q9UM73	Q9Y4H2	63	25	Complex3596	interface_cluster_65
event_00120	Q9UM73	Q9Y4H2	63	25	Complex3596	interface_cluster_65
event_00121	Q9UM73	Q9Y4H2	63	25	Complex3596	interface_cluster_65
event_00122	Q9UM73	P29353	75	32	Complex3598	interface_cluster_66
event_00123	Q9UM73	Q92529	79	34	Complex3599	interface_cluster_67
event_00124	Q4VCS5	P68133	44	20	Complex2775	interface_cluster_68
event_00125	Q4VCS5	P60709	31	16	Complex2776	interface_cluster_69
event_00126	Q4VCS5	Q96J02	74	29	Complex2777	interface_cluster_70
event_00127	Q4VCS5	P46937	49	19	Complex2778	interface_cluster_71
event_00128	Q4VCS5	P46937	49	19	Complex2778	interface_cluster_71
event_00129	Q4VCS5	P61981	41	19	Complex2774	interface_cluster_72
event_00130	Q9Y2J4	P46937	53	20	Complex3690	interface_cluster_73
event_00131	P49418	Q00610	73	34	Complex1686	interface_cluster_74
event_00132	P49418	Q00610	73	34	Complex1686	interface_cluster_74
event_00133	P15144	P12814	62	26	Complex986	interface_cluster_75
event_00134	P15144	P62330	42	18	Complex987	interface_cluster_76
event_00135	P15144	P46940	50	21	Complex988	interface_cluster_77
event_00136	P15144	P31947	41	20	Complex989	interface_cluster_78
event_00137	P15144	P31947	41	20	Complex989	interface_cluster_78
event_00138	P04083	P60709	34	14	Complex507	interface_cluster_79
event_00139	P04083	P31949	28	12	Complex506	interface_cluster_80
event_00140	P07355	P01106	49	21	Complex689	interface_cluster_81
event_00141	P07355	P60903	35	16	Complex687	interface_cluster_82
event_00142	P07355	P60903	35	16	Complex687	interface_cluster_82
event_00143	P07355	P60903	35	16	Complex687	interface_cluster_82
event_00144	P07355	P40763	54	25	Complex690	interface_cluster_83
event_00145	P20073	P16144	46	19	Complex1128	interface_cluster_84
event_00146	P63010	P49407	284	242	Complex1949	interface_cluster_85
event_00147	O14727	P08574	61	31	Complex40	interface_cluster_86
event_00148	O14727	P62258	86	44	Complex39	interface_cluster_87
event_00149	Q99767	P05067	59	25	Complex3267	interface_cluster_88
event_00150	O96018	Q9NWT6	45	21	Complex413	interface_cluster_89
event_00151	O96018	Q9NWT6	45	21	Complex413	interface_cluster_89
event_00152	O00213	P05067	24	10	Complex9_1	interface_cluster_90
event_00153	O00213	P05067	24	10	Complex9_1	interface_cluster_90
event_00154	O00213	Q9Y272	1	0	Complex8	interface_cluster_91
event_00155	P25054	P35222	0	0		interface_cluster_92
event_00156	P25054	P35222	0	0		interface_cluster_93
event_00157	P25054	Q15691	47	38	Complex1195,Complex2666_2	interface_cluster_94
event_00158	P25054	Q15691	47	38	Complex1195,Complex2666_2	interface_cluster_94
event_00159	P27695	P18887	0	0		interface_cluster_95
event_00160	P27695	P18887	0	0		interface_cluster_96
event_00161	Q9UKG1	Q01968	81	42	Complex3579	interface_cluster_97
event_00162	P41181	P0DMV8	44	22	Complex1520	interface_cluster_98
event_00163	P41181	P0DMV8	44	22	Complex1520	interface_cluster_98
event_00164	P41181	P58753	71	42	Complex1521	interface_cluster_99
event_00165	P55064	P12931	44	20	Complex1841	interface_cluster_100
event_00166	P10275	Q09472	27	10	Complex843	interface_cluster_101
event_00167	P10275	Q13547	40	21	Complex844	interface_cluster_102
event_00168	P10275	P07900	42	18	Complex731	interface_cluster_103
event_00169	P10275	Q00987	51	20	Complex837	interface_cluster_104
event_00170	P10275	Q00987	51	20	Complex837	interface_cluster_104
event_00171	P10275	O75376	60	24	Complex842	interface_cluster_105
event_00172	P10275	Q9Y252	35	15	Complex845	interface_cluster_106
event_00173	P10275	P13010	44	15	Complex839	interface_cluster_107
event_00174	P10275	P12956	38	14	Complex838	interface_cluster_108
event_00175	Q8WWN8	P52735	31	13	Complex3062	interface_cluster_109
event_00176	Q8WWN8	P52735	31	13	Complex3062	interface_cluster_109
event_00177	P53367	P84077	60	32	Complex1812	interface_cluster_110
event_00178	Q68EM7	Q15642	60	26	Complex2849	interface_cluster_111
event_00179	Q7Z5H3	P31946	59	33	Complex2900	interface_cluster_112
event_00180	Q7Z5H3	P31946	59	33	Complex2900	interface_cluster_112
event_00181	O14559	Q06124	41	23	Complex32	interface_cluster_113
event_00182	Q9NRY4	Q14152	131	66	Complex3448	interface_cluster_114
event_00183	Q9NRY4	P20936	30	10	Complex3449	interface_cluster_115
event_00184	Q9NRY4	P20936	30	10	Complex3449	interface_cluster_115
event_00185	Q9NRY4	Q92730	58	27	Complex3451	interface_cluster_116
event_00186	Q9NRY4	Q92730	58	27	Complex3451	interface_cluster_116
event_00187	Q9NRY4	Q92730	58	27	Complex3451	interface_cluster_116
event_00188	P52565	P60953	54	26	Complex1782	interface_cluster_117
event_00189	P52565	P63000	56	30	Complex1777	interface_cluster_118
event_00190	P52565	P63000	56	30	Complex1777	interface_cluster_118
event_00191	P52565	P61586	113	78	Complex1776,Complex1887	interface_cluster_118
event_00192	P52565	P61586	113	78	Complex1776,Complex1887	interface_cluster_118
event_00193	P52565	P61586	113	78	Complex1776,Complex1887	interface_cluster_118
event_00194	P52565	P61586	113	78	Complex1776,Complex1887	interface_cluster_118
event_00195	P52565	P61586	113	78	Complex1776,Complex1887	interface_cluster_118
event_00196	P52566	P60953	47	23	Complex1784	interface_cluster_118
event_00197	P52566	P60953	47	23	Complex1784	interface_cluster_118
event_00198	P52566	P60953	47	23	Complex1784	interface_cluster_118
event_00199	P52566	P63000	50	24	Complex1785	interface_cluster_118
event_00200	P52566	P63000	50	24	Complex1785	interface_cluster_118
event_00201	P52566	P63000	50	24	Complex1785	interface_cluster_118
event_00202	P52566	P63000	50	24	Complex1785	interface_cluster_118
event_00203	P52566	P63000	50	24	Complex1785	interface_cluster_118
event_00204	P52566	P63000	50	24	Complex1785	interface_cluster_118
event_00205	P52566	P61586	87	49	Complex1787	interface_cluster_118
event_00206	P52566	P61586	87	49	Complex1787	interface_cluster_118
event_00207	P52566	P08134	61	29	Complex1788	interface_cluster_118
event_00208	P52566	P08134	61	29	Complex1788	interface_cluster_118
event_00209	P52566	Q14242	45	20	Complex1792	interface_cluster_119
event_00210	P52566	Q14242	45	20	Complex1792	interface_cluster_119
event_00211	P52566	P15498	78	39	Complex1799	interface_cluster_120
event_00212	Q92974	P31946	54	30	Complex3113	interface_cluster_121
event_00213	Q92974	P63104	43	24	Complex3114	interface_cluster_122
event_00214	Q99856	Q01094	65	28	Complex3270	interface_cluster_123
