_benchmark_split,_split_row_id,_split,effect_label,modified_uniprot,partner_uniprot
pair_disjoint,0,train,Enhance,Q16613,P63104
pair_disjoint,1,train,Inhibit,Q9NY61,P19105
pair_disjoint,2,train,Enhance,Q9UNQ0,Q9UNQ0
pair_disjoint,3,train,Enhance,Q8IZP0,P27986
pair_disjoint,4,val,Inhibit,Q9P2A4,Q7L576
pair_disjoint,5,test,Inhibit,Q9P2A4,Q9Y6W5
pair_disjoint,6,train,Enhance,P00519,P31946
pair_disjoint,7,train,Enhance,P00519,P31946
pair_disjoint,8,test,Enhance,Q6UWZ7,P38398
pair_disjoint,9,test,Enhance,Q6UWZ7,P38398
pair_disjoint,10,val,Enhance,Q15018,Q9UQQ2
pair_disjoint,11,train,Enhance,Q13085,P38398
pair_disjoint,12,train,Enhance,Q13085,P38398
pair_disjoint,13,train,Enhance,Q13085,P38398
pair_disjoint,14,train,Enhance,Q15027,P05556
pair_disjoint,15,train,Enhance,P12821,P35579
pair_disjoint,16,test,Inhibit,Q9BYF1,Q96CW1
pair_disjoint,17,test,Enhance,Q9BYF1,Q96CW1
pair_disjoint,18,train,Enhance,Q9BYF1,P06241
pair_disjoint,19,train,Enhance,Q9BYF1,O95166
pair_disjoint,20,train,Enhance,Q9BYF1,P07948
pair_disjoint,21,train,Enhance,Q9BYF1,Q9H492
pair_disjoint,22,train,Enhance,P25106,P49407
pair_disjoint,23,train,Enhance,P25106,P49407
pair_disjoint,24,train,Inhibit,Q8N9L9,P0DMV8
pair_disjoint,25,train,Inhibit,P60709,P35580
pair_disjoint,26,train,Enhance,P12814,P12931
pair_disjoint,27,train,Inhibit,O43707,P68133
pair_disjoint,28,train,Inhibit,O43707,P68133
pair_disjoint,29,train,Enhance,O43707,P68133
pair_disjoint,30,train,Inhibit,O43707,P60709
pair_disjoint,31,train,Inhibit,O43707,P60709
pair_disjoint,32,train,Inhibit,O43707,P60709
pair_disjoint,33,train,Inhibit,O43707,P60709
pair_disjoint,34,train,Enhance,Q9P0K1,P31946
pair_disjoint,35,train,Enhance,Q9P0K1,P31946
pair_disjoint,36,test,Enhance,Q9P0K1,P62258
pair_disjoint,37,test,Enhance,Q9P0K1,P62258
pair_disjoint,38,train,Enhance,Q9P0K1,P61981
pair_disjoint,39,train,Enhance,Q9P0K1,P61981
pair_disjoint,40,train,Enhance,Q9P0K1,Q04917
pair_disjoint,41,train,Enhance,Q9P0K1,Q04917
pair_disjoint,42,train,Enhance,Q9P0K1,P27348
pair_disjoint,43,train,Enhance,Q9P0K1,P27348
pair_disjoint,44,test,Enhance,Q9P0K1,P63104
pair_disjoint,45,test,Enhance,Q9P0K1,P63104
pair_disjoint,46,train,Inhibit,P35611,P12814
pair_disjoint,47,test,Inhibit,P35611,P52294
pair_disjoint,48,train,Enhance,P35611,Q9HD67
pair_disjoint,49,train,Enhance,P35611,Q9HD67
pair_disjoint,50,test,Enhance,P35611,Q9ULW0
pair_disjoint,51,test,Enhance,P29274,P14416
pair_disjoint,52,train,Enhance,P07550,P36575
pair_disjoint,53,train,Enhance,P07550,P36575
pair_disjoint,54,train,Enhance,P07550,P36575
pair_disjoint,55,val,Enhance,P07550,P49407
pair_disjoint,56,test,Inhibit,P07550,O14745
pair_disjoint,57,train,Enhance,Q8N4X5,P27986
pair_disjoint,58,train,Enhance,P51825,P50750
pair_disjoint,59,train,Enhance,P51825,P50750
pair_disjoint,60,train,Enhance,Q15109,Q9NWZ3
pair_disjoint,61,train,Enhance,Q15109,Q99836
pair_disjoint,62,train,Enhance,Q15109,P58753
pair_disjoint,63,test,Inhibit,Q9UKV8,Q9UPY3
pair_disjoint,64,test,Inhibit,Q9UKV8,Q9UPY3
pair_disjoint,65,test,Inhibit,Q9UKV8,Q9UPY3
pair_disjoint,66,test,Inhibit,Q9UKV8,Q9UPY3
pair_disjoint,67,train,Enhance,Q9UKV8,Q9UGP4
pair_disjoint,68,train,Inhibit,Q9UKV8,Q15633
pair_disjoint,69,train,Inhibit,Q9UKV8,Q15633
pair_disjoint,70,train,Enhance,Q9UKV8,Q8NDV7
pair_disjoint,71,test,Enhance,P30556,P49407
pair_disjoint,72,test,Enhance,P30556,P49407
pair_disjoint,73,test,Enhance,P30556,P49407
pair_disjoint,74,test,Enhance,P30556,P49407
pair_disjoint,75,test,Enhance,P30556,P49407
pair_disjoint,76,test,Enhance,P30556,P49407
pair_disjoint,77,test,Enhance,P30556,P49407
pair_disjoint,78,test,Enhance,P30556,P49407
pair_disjoint,79,train,Enhance,P30556,P32121
pair_disjoint,80,train,Enhance,P30556,P32121
pair_disjoint,81,train,Enhance,P30556,P32121
pair_disjoint,82,train,Enhance,P30556,P32121
pair_disjoint,83,train,Enhance,P30556,P19174
pair_disjoint,84,train,Enhance,O43865,O14745
