_benchmark_split,_split_row_id,_split,effect_label,modified_uniprot,partner_uniprot
random,0,train,Enhance,Q16613,P63104
random,1,test,Inhibit,Q9NY61,P19105
random,2,train,Enhance,Q9UNQ0,Q9UNQ0
random,3,val,Enhance,Q8IZP0,P27986
random,4,val,Inhibit,Q9P2A4,Q7L576
random,5,train,Inhibit,Q9P2A4,Q9Y6W5
random,6,train,Enhance,P00519,P31946
random,7,train,Enhance,P00519,P31946
random,8,test,Enhance,Q6UWZ7,P38398
random,9,test,Enhance,Q6UWZ7,P38398
random,10,train,Enhance,Q15018,Q9UQQ2
random,11,train,Enhance,Q13085,P38398
random,12,test,Enhance,Q13085,P38398
random,13,val,Enhance,Q13085,P38398
random,14,test,Enhance,Q15027,P05556
random,15,train,Enhance,P12821,P35579
random,16,train,Inhibit,Q9BYF1,Q96CW1
random,17,train,Enhance,Q9BYF1,Q96CW1
random,18,train,Enhance,Q9BYF1,P06241
random,19,test,Enhance,Q9BYF1,O95166
random,20,train,Enhance,Q9BYF1,P07948
random,21,test,Enhance,Q9BYF1,Q9H492
random,22,test,Enhance,P25106,P49407
random,23,train,Enhance,P25106,P49407
random,24,train,Inhibit,Q8N9L9,P0DMV8
random,25,train,Inhibit,P60709,P35580
random,26,train,Enhance,P12814,P12931
random,27,train,Inhibit,O43707,P68133
random,28,train,Inhibit,O43707,P68133
random,29,test,Enhance,O43707,P68133
random,30,train,Inhibit,O43707,P60709
random,31,train,Inhibit,O43707,P60709
random,32,train,Inhibit,O43707,P60709
random,33,train,Inhibit,O43707,P60709
random,34,test,Enhance,Q9P0K1,P31946
random,35,test,Enhance,Q9P0K1,P31946
random,36,train,Enhance,Q9P0K1,P62258
random,37,train,Enhance,Q9P0K1,P62258
random,38,test,Enhance,Q9P0K1,P61981
random,39,test,Enhance,Q9P0K1,P61981
random,40,train,Enhance,Q9P0K1,Q04917
random,41,test,Enhance,Q9P0K1,Q04917
random,42,train,Enhance,Q9P0K1,P27348
random,43,train,Enhance,Q9P0K1,P27348
random,44,val,Enhance,Q9P0K1,P63104
random,45,train,Enhance,Q9P0K1,P63104
random,46,train,Inhibit,P35611,P12814
random,47,test,Inhibit,P35611,P52294
random,48,test,Enhance,P35611,Q9HD67
random,49,train,Enhance,P35611,Q9HD67
random,50,test,Enhance,P35611,Q9ULW0
random,51,test,Enhance,P29274,P14416
random,52,train,Enhance,P07550,P36575
random,53,test,Enhance,P07550,P36575
random,54,train,Enhance,P07550,P36575
random,55,train,Enhance,P07550,P49407
random,56,train,Inhibit,P07550,O14745
random,57,train,Enhance,Q8N4X5,P27986
random,58,train,Enhance,P51825,P50750
random,59,train,Enhance,P51825,P50750
random,60,test,Enhance,Q15109,Q9NWZ3
random,61,train,Enhance,Q15109,Q99836
random,62,train,Enhance,Q15109,P58753
random,63,train,Inhibit,Q9UKV8,Q9UPY3
random,64,train,Inhibit,Q9UKV8,Q9UPY3
random,65,test,Inhibit,Q9UKV8,Q9UPY3
random,66,train,Inhibit,Q9UKV8,Q9UPY3
random,67,train,Enhance,Q9UKV8,Q9UGP4
random,68,train,Inhibit,Q9UKV8,Q15633
random,69,train,Inhibit,Q9UKV8,Q15633
random,70,test,Enhance,Q9UKV8,Q8NDV7
random,71,test,Enhance,P30556,P49407
random,72,train,Enhance,P30556,P49407
random,73,train,Enhance,P30556,P49407
random,74,test,Enhance,P30556,P49407
random,75,test,Enhance,P30556,P49407
random,76,train,Enhance,P30556,P49407
random,77,test,Enhance,P30556,P49407
random,78,train,Enhance,P30556,P49407
random,79,train,Enhance,P30556,P32121
random,80,train,Enhance,P30556,P32121
random,81,train,Enhance,P30556,P32121
random,82,test,Enhance,P30556,P32121
random,83,val,Enhance,P30556,P19174
random,84,test,Enhance,O43865,O14745
random,85,train,Enhance,O95433,P07900
random,86,train,Enhance,O95433,P07900
